Notes,County,County Code,Year,Year Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Ashtabula County, OH",39007,2010,2010,Drug-induced causes,D,181,101497,178.3
,"Ashtabula County, OH",39007,2011,2011,Drug-induced causes,D,204,101345,201.3
,"Ashtabula County, OH",39007,2012,2012,Drug-induced causes,D,172,100389,171.3
,"Ashtabula County, OH",39007,2013,2013,Drug-induced causes,D,180,99811,180.3
,"Ashtabula County, OH",39007,2014,2014,Drug-induced causes,D,209,99175,210.7
,"Ashtabula County, OH",39007,2015,2015,Drug-induced causes,D,234,98632,237.2
,"Ashtabula County, OH",39007,2016,2016,Drug-induced causes,D,229,98231,233.1
,"Athens County, OH",39009,2000,2000,Drug-induced causes,D,16,62223,Unreliable
,"Athens County, OH",39009,2001,2001,Drug-induced causes,D,17,62997,Unreliable
,"Athens County, OH",39009,2002,2002,Drug-induced causes,D,15,63401,Unreliable
,"Athens County, OH",39009,2003,2003,Drug-induced causes,D,14,63827,Unreliable
,"Athens County, OH",39009,2004,2004,Drug-induced causes,D,17,63230,Unreliable
,"Athens County, OH",39009,2005,2005,Drug-induced causes,D,22,64075,34.3
,"Athens County, OH",39009,2006,2006,Drug-induced causes,D,30,64237,46.7
,"Athens County, OH",39009,2007,2007,Drug-induced causes,D,95,64102,148.2
,"Athens County, OH",39009,2008,2008,Drug-induced causes,D,77,64546,119.3
,"Athens County, OH",39009,2009,2009,Drug-induced causes,D,76,64618,117.6
,"Athens County, OH",39009,2010,2010,Drug-induced causes,D,116,64757,179.1
,"Athens County, OH",39009,2011,2011,Drug-induced causes,D,120,64769,185.3
,"Athens County, OH",39009,2012,2012,Drug-induced causes,D,117,64304,181.9
,"Athens County, OH",39009,2013,2013,Drug-induced causes,D,89,64681,137.6
,"Athens County, OH",39009,2014,2014,Drug-induced causes,D,102,64713,157.6
,"Athens County, OH",39009,2015,2015,Drug-induced causes,D,135,65886,204.9
,"Athens County, OH",39009,2016,2016,Drug-induced causes,D,111,66186,167.7
,"Auglaize County, OH",39011,2005,2005,Drug-induced causes,D,12,46166,Unreliable
,"Auglaize County, OH",39011,2006,2006,Drug-induced causes,D,12,46034,Unreliable
,"Auglaize County, OH",39011,2007,2007,Drug-induced causes,D,71,45977,154.4
,"Auglaize County, OH",39011,2008,2008,Drug-induced causes,D,71,46167,153.8
,"Auglaize County, OH",39011,2009,2009,Drug-induced causes,D,80,45996,173.9
,"Auglaize County, OH",39011,2010,2010,Drug-induced causes,D,79,45949,171.9
,"Auglaize County, OH",39011,2011,2011,Drug-induced causes,D,66,45838,144
,"Auglaize County, OH",39011,2012,2012,Drug-induced causes,D,80,45831,174.6
,"Auglaize County, OH",39011,2013,2013,Drug-induced causes,D,73,45920,159
,"Auglaize County, OH",39011,2014,2014,Drug-induced causes,D,65,45841,141.8
,"Auglaize County, OH",39011,2015,2015,Drug-induced causes,D,86,45876,187.5
,"Auglaize County, OH",39011,2016,2016,Drug-induced causes,D,66,45894,143.8
,"Belmont County, OH",39013,2001,2001,Drug-induced causes,D,13,69901,Unreliable
,"Belmont County, OH",39013,2002,2002,Drug-induced causes,D,11,70293,Unreliable
,"Belmont County, OH",39013,2004,2004,Drug-induced causes,D,14,70241,Unreliable
,"Belmont County, OH",39013,2005,2005,Drug-induced causes,D,13,70203,Unreliable
,"Belmont County, OH",39013,2006,2006,Drug-induced causes,D,13,70469,Unreliable
,"Belmont County, OH",39013,2007,2007,Drug-induced causes,D,100,70430,142
,"Belmont County, OH",39013,2008,2008,Drug-induced causes,D,93,70356,132.2
,"Belmont County, OH",39013,2009,2009,Drug-induced causes,D,85,70439,120.7
,"Belmont County, OH",39013,2010,2010,Drug-induced causes,D,100,70400,142
,"Belmont County, OH",39013,2011,2011,Drug-induced causes,D,99,70151,141.1
,"Belmont County, OH",39013,2012,2012,Drug-induced causes,D,92,69671,132
,"Belmont County, OH",39013,2013,2013,Drug-induced causes,D,93,69571,133.7
,"Belmont County, OH",39013,2014,2014,Drug-induced causes,D,101,69461,145.4
,"Belmont County, OH",39013,2015,2015,Drug-induced causes,D,106,69154,153.3
,"Belmont County, OH",39013,2016,2016,Drug-induced causes,D,119,68673,173.3
,"Brown County, OH",39015,1999,1999,Drug-induced causes,D,10,41544,Unreliable
,"Brown County, OH",39015,2000,2000,Drug-induced causes,D,10,42285,Unreliable
,"Brown County, OH",39015,2001,2001,Drug-induced causes,D,10,42839,Unreliable
,"Brown County, OH",39015,2002,2002,Drug-induced causes,D,12,43368,Unreliable
,"Brown County, OH",39015,2003,2003,Drug-induced causes,D,10,43794,Unreliable
,"Brown County, OH",39015,2004,2004,Drug-induced causes,D,19,43995,Unreliable
,"Brown County, OH",39015,2005,2005,Drug-induced causes,D,18,44161,Unreliable
,"Brown County, OH",39015,2006,2006,Drug-induced causes,D,16,44334,Unreliable
,"Brown County, OH",39015,2007,2007,Drug-induced causes,D,80,44490,179.8
,"Brown County, OH",39015,2008,2008,Drug-induced causes,D,107,44668,239.5
,"Brown County, OH",39015,2009,2009,Drug-induced causes,D,92,44740,205.6
,"Brown County, OH",39015,2010,2010,Drug-induced causes,D,84,44846,187.3
,"Brown County, OH",39015,2011,2011,Drug-induced causes,D,99,44687,221.5
,"Brown County, OH",39015,2012,2012,Drug-induced causes,D,92,44381,207.3
,"Brown County, OH",39015,2013,2013,Drug-induced causes,D,117,44264,264.3
,"Brown County, OH",39015,2014,2014,Drug-induced causes,D,107,44116,242.5
,"Brown County, OH",39015,2015,2015,Drug-induced causes,D,146,43839,333
,"Brown County, OH",39015,2016,2016,Drug-induced causes,D,129,43759,294.8
,"Butler County, OH",39017,1999,1999,Drug-induced causes,D,40,330751,12.1
,"Butler County, OH",39017,2000,2000,Drug-induced causes,D,39,332807,11.7
,"Butler County, OH",39017,2001,2001,Drug-induced causes,D,61,336679,18.1
,"Butler County, OH",39017,2002,2002,Drug-induced causes,D,67,339514,19.7
,"Butler County, OH",39017,2003,2003,Drug-induced causes,D,67,343022,19.5
,"Butler County, OH",39017,2004,2004,Drug-induced causes,D,89,346655,25.7
,"Butler County, OH",39017,2005,2005,Drug-induced causes,D,100,350732,28.5
,"Butler County, OH",39017,2006,2006,Drug-induced causes,D,109,356691,30.6
,"Butler County, OH",39017,2007,2007,Drug-induced causes,D,497,361192,137.6
,"Butler County, OH",39017,2008,2008,Drug-induced causes,D,521,364179,143.1
,"Butler County, OH",39017,2009,2009,Drug-induced causes,D,516,366633,140.7
,"Butler County, OH",39017,2010,2010,Drug-induced causes,D,437,368130,118.7
,"Butler County, OH",39017,2011,2011,Drug-induced causes,D,499,369999,134.9
,"Butler County, OH",39017,2012,2012,Drug-induced causes,D,547,370589,147.6
,"Butler County, OH",39017,2013,2013,Drug-induced causes,D,602,371272,162.1
,"Butler County, OH",39017,2014,2014,Drug-induced causes,D,617,374158,164.9
,"Butler County, OH",39017,2015,2015,Drug-induced causes,D,659,376353,175.1
,"Butler County, OH",39017,2016,2016,Drug-induced causes,D,623,377537,165
,"Carroll County, OH",39019,2002,2002,Drug-induced causes,D,10,29172,Unreliable
,"Carroll County, OH",39019,2007,2007,Drug-induced causes,D,43,29062,148
,"Carroll County, OH",39019,2008,2008,Drug-induced causes,D,54,28999,186.2
,"Carroll County, OH",39019,2009,2009,Drug-induced causes,D,62,28917,214.4
,"Carroll County, OH",39019,2010,2010,Drug-induced causes,D,63,28836,218.5
,"Carroll County, OH",39019,2011,2011,Drug-induced causes,D,79,28782,274.5
,"Carroll County, OH",39019,2012,2012,Drug-induced causes,D,54,28587,188.9
,"Carroll County, OH",39019,2013,2013,Drug-induced causes,D,54,28275,191
,"Carroll County, OH",39019,2014,2014,Drug-induced causes,D,74,28187,262.5
,"Carroll County, OH",39019,2015,2015,Drug-induced causes,D,69,27811,248.1
,"Carroll County, OH",39019,2016,2016,Drug-induced causes,D,65,27669,234.9
,"Champaign County, OH",39021,2000,2000,Drug-induced causes,D,13,38890,Unreliable
,"Champaign County, OH",39021,2001,2001,Drug-induced causes,D,10,39047,Unreliable
,"Champaign County, OH",39021,2004,2004,Drug-induced causes,D,11,39565,Unreliable
,"Champaign County, OH",39021,2006,2006,Drug-induced causes,D,12,40018,Unreliable
,"Champaign County, OH",39021,2007,2007,Drug-induced causes,D,88,40127,219.3
,"Champaign County, OH",39021,2008,2008,Drug-induced causes,D,91,40263,226
,"Champaign County, OH",39021,2009,2009,Drug-induced causes,D,90,40265,223.5
,"Champaign County, OH",39021,2010,2010,Drug-induced causes,D,89,40097,222
,"Champaign County, OH",39021,2011,2011,Drug-induced causes,D,99,39795,248.8
,"Champaign County, OH",39021,2012,2012,Drug-induced causes,D,89,39565,224.9
,"Champaign County, OH",39021,2013,2013,Drug-induced causes,D,81,39455,205.3
,"Champaign County, OH",39021,2014,2014,Drug-induced causes,D,85,39128,217.2
,"Champaign County, OH",39021,2015,2015,Drug-induced causes,D,113,38987,289.8
,"Champaign County, OH",39021,2016,2016,Drug-induced causes,D,118,38747,304.5
,"Clark County, OH",39023,1999,1999,Drug-induced causes,D,19,145159,Unreliable
,"Clark County, OH",39023,2000,2000,Drug-induced causes,D,29,144742,20
,"Clark County, OH",39023,2001,2001,Drug-induced causes,D,31,143803,21.6
,"Clark County, OH",39023,2002,2002,Drug-induced causes,D,29,143229,20.2
,"Clark County, OH",39023,2003,2003,Drug-induced causes,D,41,141758,28.9
,"Clark County, OH",39023,2004,2004,Drug-induced causes,D,63,141380,44.6
,"Clark County, OH",39023,2005,2005,Drug-induced causes,D,56,141367,39.6
,"Clark County, OH",39023,2006,2006,Drug-induced causes,D,46,140668,32.7
,"Clark County, OH",39023,2007,2007,Drug-induced causes,D,343,139829,245.3
,"Clark County, OH",39023,2008,2008,Drug-induced causes,D,348,139404,249.6
,"Clark County, OH",39023,2009,2009,Drug-induced causes,D,310,138778,223.4
,"Clark County, OH",39023,2010,2010,Drug-induced causes,D,292,138333,211.1
,"Clark County, OH",39023,2011,2011,Drug-induced causes,D,342,137691,248.4
,"Clark County, OH",39023,2012,2012,Drug-induced causes,D,320,137206,233.2
,"Clark County, OH",39023,2013,2013,Drug-induced causes,D,297,136167,218.1
,"Clark County, OH",39023,2014,2014,Drug-induced causes,D,300,136554,219.7
,"Clark County, OH",39023,2015,2015,Drug-induced causes,D,366,135959,269.2
,"Clark County, OH",39023,2016,2016,Drug-induced causes,D,359,134786,266.3
,"Clermont County, OH",39025,1999,1999,Drug-induced causes,D,16,176389,Unreliable
,"Clermont County, OH",39025,2000,2000,Drug-induced causes,D,32,177977,18
,"Clermont County, OH",39025,2001,2001,Drug-induced causes,D,25,179845,13.9
,"Clermont County, OH",39025,2002,2002,Drug-induced causes,D,30,182143,16.5
,"Clermont County, OH",39025,2003,2003,Drug-induced causes,D,31,184446,16.8
,"Clermont County, OH",39025,2004,2004,Drug-induced causes,D,53,187281,28.3
,"Clermont County, OH",39025,2005,2005,Drug-induced causes,D,37,189486,19.5
,"Clermont County, OH",39025,2006,2006,Drug-induced causes,D,56,192209,29.1
,"Clermont County, OH",39025,2007,2007,Drug-induced causes,D,263,194346,135.3
,"Clermont County, OH",39025,2008,2008,Drug-induced causes,D,310,195891,158.3
,"Clermont County, OH",39025,2009,2009,Drug-induced causes,D,271,196512,137.9
,"Clermont County, OH",39025,2010,2010,Drug-induced causes,D,320,197363,162.1
,"Clermont County, OH",39025,2011,2011,Drug-induced causes,D,262,199139,131.6
,"Clermont County, OH",39025,2012,2012,Drug-induced causes,D,273,199085,137.1
,"Clermont County, OH",39025,2013,2013,Drug-induced causes,D,315,200218,157.3
,"Clermont County, OH",39025,2014,2014,Drug-induced causes,D,321,201560,159.3
,"Clermont County, OH",39025,2015,2015,Drug-induced causes,D,346,201973,171.3
,"Clermont County, OH",39025,2016,2016,Drug-induced causes,D,393,203022,193.6
,"Clinton County, OH",39027,2002,2002,Drug-induced causes,D,12,41042,Unreliable
,"Clinton County, OH",39027,2003,2003,Drug-induced causes,D,15,41250,Unreliable
,"Clinton County, OH",39027,2004,2004,Drug-induced causes,D,20,41557,48.1
,"Clinton County, OH",39027,2005,2005,Drug-induced causes,D,11,41775,Unreliable
,"Clinton County, OH",39027,2006,2006,Drug-induced causes,D,20,42499,47.1
,"Clinton County, OH",39027,2007,2007,Drug-induced causes,D,75,42576,176.2
,"Clinton County, OH",39027,2008,2008,Drug-induced causes,D,96,42656,225.1
,"Clinton County, OH",39027,2009,2009,Drug-induced causes,D,89,42418,209.8
,"Clinton County, OH",39027,2010,2010,Drug-induced causes,D,77,42040,183.2
,"Clinton County, OH",39027,2011,2011,Drug-induced causes,D,91,41927,217
,"Clinton County, OH",39027,2012,2012,Drug-induced causes,D,92,41886,219.6
,"Clinton County, OH",39027,2013,2013,Drug-induced causes,D,101,41945,240.8
,"Clinton County, OH",39027,2014,2014,Drug-induced causes,D,68,41835,162.5
,"Clinton County, OH",39027,2015,2015,Drug-induced causes,D,87,41917,207.6
,"Clinton County, OH",39027,2016,2016,Drug-induced causes,D,77,41902,183.8
,"Columbiana County, OH",39029,1999,1999,Drug-induced causes,D,14,112151,Unreliable
,"Columbiana County, OH",39029,2000,2000,Drug-induced causes,D,16,112075,Unreliable
,"Columbiana County, OH",39029,2001,2001,Drug-induced causes,D,16,111370,Unreliable
,"Columbiana County, OH",39029,2002,2002,Drug-induced causes,D,16,111097,Unreliable
,"Columbiana County, OH",39029,2003,2003,Drug-induced causes,D,15,111000,Unreliable
,"Columbiana County, OH",39029,2004,2004,Drug-induced causes,D,20,110627,18.1
,"Columbiana County, OH",39029,2005,2005,Drug-induced causes,D,22,109784,20
,"Columbiana County, OH",39029,2006,2006,Drug-induced causes,D,56,109673,51.1
,"Columbiana County, OH",39029,2007,2007,Drug-induced causes,D,189,109153,173.2
,"Columbiana County, OH",39029,2008,2008,Drug-induced causes,D,204,108469,188.1
,"Columbiana County, OH",39029,2009,2009,Drug-induced causes,D,160,107948,148.2
,"Columbiana County, OH",39029,2010,2010,Drug-induced causes,D,178,107841,165.1
,"Columbiana County, OH",39029,2011,2011,Drug-induced causes,D,190,107570,176.6
,"Columbiana County, OH",39029,2012,2012,Drug-induced causes,D,210,106507,197.2
,"Columbiana County, OH",39029,2013,2013,Drug-induced causes,D,193,105893,182.3
,"Columbiana County, OH",39029,2014,2014,Drug-induced causes,D,206,105686,194.9
,"Columbiana County, OH",39029,2015,2015,Drug-induced causes,D,219,104806,209
,"Columbiana County, OH",39029,2016,2016,Drug-induced causes,D,227,103685,218.9
,"Coshocton County, OH",39031,2007,2007,Drug-induced causes,D,69,37184,185.6
,"Coshocton County, OH",39031,2008,2008,Drug-induced causes,D,77,36953,208.4
,"Coshocton County, OH",39031,2009,2009,Drug-induced causes,D,68,36878,184.4
,"Coshocton County, OH",39031,2010,2010,Drug-induced causes,D,71,36901,192.4
,"Coshocton County, OH",39031,2011,2011,Drug-induced causes,D,59,36955,159.7
,"Coshocton County, OH",39031,2012,2012,Drug-induced causes,D,72,36779,195.8
,"Coshocton County, OH",39031,2013,2013,Drug-induced causes,D,60,36760,163.2
,"Coshocton County, OH",39031,2014,2014,Drug-induced causes,D,43,36516,117.8
,"Coshocton County, OH",39031,2015,2015,Drug-induced causes,D,78,36569,213.3
,"Coshocton County, OH",39031,2016,2016,Drug-induced causes,D,75,36602,204.9
,"Crawford County, OH",39033,1999,1999,Drug-induced causes,D,12,47156,Unreliable
,"Crawford County, OH",39033,2005,2005,Drug-induced causes,D,12,45536,Unreliable
,"Crawford County, OH",39033,2006,2006,Drug-induced causes,D,11,44907,Unreliable
,"Crawford County, OH",39033,2007,2007,Drug-induced causes,D,104,44634,233
,"Crawford County, OH",39033,2008,2008,Drug-induced causes,D,110,44291,248.4
,"Crawford County, OH",39033,2009,2009,Drug-induced causes,D,89,43921,202.6
,"Crawford County, OH",39033,2010,2010,Drug-induced causes,D,66,43784,150.7
,"Crawford County, OH",39033,2011,2011,Drug-induced causes,D,89,43389,205.1
,"Crawford County, OH",39033,2012,2012,Drug-induced causes,D,94,42849,219.4
,"Crawford County, OH",39033,2013,2013,Drug-induced causes,D,106,42808,247.6
,"Crawford County, OH",39033,2014,2014,Drug-induced causes,D,121,42480,284.8
,"Crawford County, OH",39033,2015,2015,Drug-induced causes,D,106,42306,250.6
,"Crawford County, OH",39033,2016,2016,Drug-induced causes,D,110,42083,261.4
,"Cuyahoga County, OH",39035,1999,1999,Drug-induced causes,D,146,1399752,10.4
,"Cuyahoga County, OH",39035,2000,2000,Drug-induced causes,D,212,1393978,15.2
,"Cuyahoga County, OH",39035,2001,2001,Drug-induced causes,D,232,1382520,16.8
,"Cuyahoga County, OH",39035,2002,2002,Drug-induced causes,D,228,1371493,16.6
,"Cuyahoga County, OH",39035,2003,2003,Drug-induced causes,D,257,1359929,18.9
,"Cuyahoga County, OH",39035,2004,2004,Drug-induced causes,D,347,1346714,25.8
,"Cuyahoga County, OH",39035,2005,2005,Drug-induced causes,D,333,1330612,25
,"Cuyahoga County, OH",39035,2006,2006,Drug-induced causes,D,342,1312816,26.1
,"Cuyahoga County, OH",39035,2007,2007,Drug-induced causes,D,1539,1301540,118.2
,"Cuyahoga County, OH",39035,2008,2008,Drug-induced causes,D,1695,1291479,131.2
,"Cuyahoga County, OH",39035,2009,2009,Drug-induced causes,D,1598,1285082,124.4
,"Cuyahoga County, OH",39035,2010,2010,Drug-induced causes,D,1645,1280122,128.5
,"Cuyahoga County, OH",39035,2011,2011,Drug-induced causes,D,1682,1270294,132.4
,"Cuyahoga County, OH",39035,2012,2012,Drug-induced causes,D,1744,1265111,137.9
,"Cuyahoga County, OH",39035,2013,2013,Drug-induced causes,D,1741,1263154,137.8
,"Cuyahoga County, OH",39035,2014,2014,Drug-induced causes,D,1641,1259828,130.3
,"Cuyahoga County, OH",39035,2015,2015,Drug-induced causes,D,1844,1255921,146.8
,"Cuyahoga County, OH",39035,2016,2016,Drug-induced causes,D,2071,1249352,165.8
,"Darke County, OH",39037,2002,2002,Drug-induced causes,D,13,53011,Unreliable
,"Darke County, OH",39037,2004,2004,Drug-induced causes,D,14,53236,Unreliable
,"Darke County, OH",39037,2005,2005,Drug-induced causes,D,11,53200,Unreliable
,"Darke County, OH",39037,2007,2007,Drug-induced causes,D,85,52996,160.4
,"Darke County, OH",39037,2008,2008,Drug-induced causes,D,93,52909,175.8
,"Darke County, OH",39037,2009,2009,Drug-induced causes,D,96,52829,181.7
,"Darke County, OH",39037,2010,2010,Drug-induced causes,D,84,52959,158.6
,"Darke County, OH",39037,2011,2011,Drug-induced causes,D,95,52809,179.9
,"Darke County, OH",39037,2012,2012,Drug-induced causes,D,92,52507,175.2
,"Darke County, OH",39037,2013,2013,Drug-induced causes,D,110,52376,210
,"Darke County, OH",39037,2014,2014,Drug-induced causes,D,113,52196,216.5
,"Darke County, OH",39037,2015,2015,Drug-induced causes,D,113,52076,217
,"Darke County, OH",39037,2016,2016,Drug-induced causes,D,118,51778,227.9
,"Defiance County, OH",39039,2005,2005,Drug-induced causes,D,10,39049,Unreliable
,"Defiance County, OH",39039,2006,2006,Drug-induced causes,D,10,39154,Unreliable
,"Defiance County, OH",39039,2007,2007,Drug-induced causes,D,78,39123,199.4
,"Defiance County, OH",39039,2008,2008,Drug-induced causes,D,82,39250,208.9
,"Defiance County, OH",39039,2009,2009,Drug-induced causes,D,90,39060,230.4
,"Defiance County, OH",39039,2010,2010,Drug-induced causes,D,71,39037,181.9
,"Defiance County, OH",39039,2011,2011,Drug-induced causes,D,87,38884,223.7
,"Defiance County, OH",39039,2012,2012,Drug-induced causes,D,87,38677,224.9
,"Defiance County, OH",39039,2013,2013,Drug-induced causes,D,85,38532,220.6
,"Defiance County, OH",39039,2014,2014,Drug-induced causes,D,82,38510,212.9
,"Defiance County, OH",39039,2015,2015,Drug-induced causes,D,91,38352,237.3
,"Defiance County, OH",39039,2016,2016,Drug-induced causes,D,90,38158,235.9
,"Delaware County, OH",39041,2000,2000,Drug-induced causes,D,15,109989,Unreliable
,"Delaware County, OH",39041,2001,2001,Drug-induced causes,D,16,118646,Unreliable
,"Delaware County, OH",39041,2002,2002,Drug-induced causes,D,22,126172,17.4
,"Delaware County, OH",39041,2003,2003,Drug-induced causes,D,18,133842,Unreliable
,"Delaware County, OH",39041,2004,2004,Drug-induced causes,D,24,141348,17
,"Delaware County, OH",39041,2005,2005,Drug-induced causes,D,19,149153,Unreliable
,"Delaware County, OH",39041,2006,2006,Drug-induced causes,D,25,156164,16
,"Delaware County, OH",39041,2007,2007,Drug-induced causes,D,129,161796,79.7
,"Delaware County, OH",39041,2008,2008,Drug-induced causes,D,133,166652,79.8
,"Delaware County, OH",39041,2009,2009,Drug-induced causes,D,133,170676,77.9
,"Delaware County, OH",39041,2010,2010,Drug-induced causes,D,147,174214,84.4
,"Delaware County, OH",39041,2011,2011,Drug-induced causes,D,123,178341,69
,"Delaware County, OH",39041,2012,2012,Drug-induced causes,D,132,181061,72.9
,"Delaware County, OH",39041,2013,2013,Drug-induced causes,D,137,184979,74.1
,"Delaware County, OH",39041,2014,2014,Drug-induced causes,D,181,189113,95.7
,"Delaware County, OH",39041,2015,2015,Drug-induced causes,D,172,193013,89.1
,"Delaware County, OH",39041,2016,2016,Drug-induced causes,D,191,196463,97.2
,"Erie County, OH",39043,2000,2000,Drug-induced causes,D,10,79551,Unreliable
,"Erie County, OH",39043,2001,2001,Drug-induced causes,D,14,79308,Unreliable
,"Erie County, OH",39043,2003,2003,Drug-induced causes,D,19,78673,Unreliable
,"Erie County, OH",39043,2004,2004,Drug-induced causes,D,12,78596,Unreliable
,"Erie County, OH",39043,2005,2005,Drug-induced causes,D,13,78070,Unreliable
,"Erie County, OH",39043,2006,2006,Drug-induced causes,D,18,77876,Unreliable
,"Erie County, OH",39043,2007,2007,Drug-induced causes,D,126,77668,162.2
,"Erie County, OH",39043,2008,2008,Drug-induced causes,D,127,77573,163.7
,"Erie County, OH",39043,2009,2009,Drug-induced causes,D,107,77085,138.8
,"Erie County, OH",39043,2010,2010,Drug-induced causes,D,113,77079,146.6
,"Erie County, OH",39043,2011,2011,Drug-induced causes,D,112,76751,145.9
,"Erie County, OH",39043,2012,2012,Drug-induced causes,D,102,76398,133.5
,"Erie County, OH",39043,2013,2013,Drug-induced causes,D,115,76048,151.2
,"Erie County, OH",39043,2014,2014,Drug-induced causes,D,134,75828,176.7
,"Erie County, OH",39043,2015,2015,Drug-induced causes,D,141,75550,186.6
,"Erie County, OH",39043,2016,2016,Drug-induced causes,D,142,75107,189.1
,"Fairfield County, OH",39045,1999,1999,Drug-induced causes,D,24,121431,19.8
,"Fairfield County, OH",39045,2000,2000,Drug-induced causes,D,16,122759,Unreliable
,"Fairfield County, OH",39045,2001,2001,Drug-induced causes,D,29,126245,23
,"Fairfield County, OH",39045,2002,2002,Drug-induced causes,D,32,129355,24.7
,"Fairfield County, OH",39045,2003,2003,Drug-induced causes,D,30,132770,22.6
,"Fairfield County, OH",39045,2004,2004,Drug-induced causes,D,46,136074,33.8
,"Fairfield County, OH",39045,2005,2005,Drug-induced causes,D,39,138745,28.1
,"Fairfield County, OH",39045,2006,2006,Drug-induced causes,D,39,141005,27.7
,"Fairfield County, OH",39045,2007,2007,Drug-induced causes,D,196,142915,137.1
,"Fairfield County, OH",39045,2008,2008,Drug-induced causes,D,236,144029,163.9
,"Fairfield County, OH",39045,2009,2009,Drug-induced causes,D,211,145446,145.1
,"Fairfield County, OH",39045,2010,2010,Drug-induced causes,D,219,146156,149.8
,"Fairfield County, OH",39045,2011,2011,Drug-induced causes,D,196,147066,133.3
,"Fairfield County, OH",39045,2012,2012,Drug-induced causes,D,235,147474,159.4
,"Fairfield County, OH",39045,2013,2013,Drug-induced causes,D,265,148867,178
