State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2015,October,12 month-ending,Number of Drug Overdose Deaths,120,100,0,
AK,Alaska,2015,November,12 month-ending,Number of Drug Overdose Deaths,115,100,0,
AK,Alaska,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100,0,
AK,Alaska,2016,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,
AK,Alaska,2016,February,12 month-ending,Number of Drug Overdose Deaths,128,100,0,
AK,Alaska,2016,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
AK,Alaska,2016,April,12 month-ending,Number of Drug Overdose Deaths,132,100,0,
AK,Alaska,2016,May,12 month-ending,Number of Drug Overdose Deaths,140,100,0,
AK,Alaska,2016,June,12 month-ending,Number of Drug Overdose Deaths,138,100,0,
AK,Alaska,2016,July,12 month-ending,Number of Drug Overdose Deaths,143,100,0,
AK,Alaska,2016,August,12 month-ending,Number of Drug Overdose Deaths,138,100,0,
AK,Alaska,2016,September,12 month-ending,Number of Drug Overdose Deaths,131,100,0,
AK,Alaska,2016,October,12 month-ending,Number of Drug Overdose Deaths,131,100,0.1,
AK,Alaska,2016,November,12 month-ending,Number of Drug Overdose Deaths,133,100,0.1,
AK,Alaska,2016,December,12 month-ending,Number of Drug Overdose Deaths,129,100,0.1,
AK,Alaska,2017,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,February,12 month-ending,Number of Drug Overdose Deaths,124,100,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,March,12 month-ending,Number of Drug Overdose Deaths,126,100,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,April,12 month-ending,Number of Drug Overdose Deaths,117,100,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,May,12 month-ending,Number of Drug Overdose Deaths,119,100,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,June,12 month-ending,Number of Drug Overdose Deaths,121,100,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,July,12 month-ending,Number of Drug Overdose Deaths,127,100,0.1,*Likely underreported due to incomplete data
AK,Alaska,2017,August,12 month-ending,Number of Drug Overdose Deaths,136,100,0,*Likely underreported due to incomplete data
AL,Alabama,2015,January,12 month-ending,Number of Deaths,"49,543",100,0.3,
AL,Alabama,2015,February,12 month-ending,Number of Deaths,"50,004",100,0.3,
AL,Alabama,2015,March,12 month-ending,Number of Deaths,"50,486",100,0.3,
AL,Alabama,2015,April,12 month-ending,Number of Deaths,"50,565",100,0.3,
AL,Alabama,2015,May,12 month-ending,Number of Deaths,"50,516",100,0.3,
AL,Alabama,2015,June,12 month-ending,Number of Deaths,"50,658",100,0.3,
AL,Alabama,2015,July,12 month-ending,Number of Deaths,"50,841",100,0.3,
AL,Alabama,2015,August,12 month-ending,Number of Deaths,"50,930",100,0.3,
AL,Alabama,2015,September,12 month-ending,Number of Deaths,"51,044",100,0.3,
AL,Alabama,2015,October,12 month-ending,Number of Deaths,"51,091",100,0.3,
AL,Alabama,2015,November,12 month-ending,Number of Deaths,"51,093",100,0.3,
AL,Alabama,2015,December,12 month-ending,Number of Deaths,"50,870",100,0.3,
AL,Alabama,2016,January,12 month-ending,Number of Deaths,"50,534",100,0.3,
AL,Alabama,2016,February,12 month-ending,Number of Deaths,"50,555",100,0.3,
AL,Alabama,2016,March,12 month-ending,Number of Deaths,"50,348",100,0.3,
AL,Alabama,2016,April,12 month-ending,Number of Deaths,"50,391",100,0.3,
AL,Alabama,2016,May,12 month-ending,Number of Deaths,"50,511",100,0.3,
AL,Alabama,2016,June,12 month-ending,Number of Deaths,"50,613",100,0.3,
AL,Alabama,2016,July,12 month-ending,Number of Deaths,"50,683",100,0.3,
AL,Alabama,2016,August,12 month-ending,Number of Deaths,"50,756",100,0.3,
AL,Alabama,2016,September,12 month-ending,Number of Deaths,"50,810",100,0.3,
AL,Alabama,2016,October,12 month-ending,Number of Deaths,"50,869",100,0.3,
AL,Alabama,2016,November,12 month-ending,Number of Deaths,"51,110",100,0.3,
AL,Alabama,2016,December,12 month-ending,Number of Deaths,"51,431",100,0.3,
AL,Alabama,2017,January,12 month-ending,Number of Deaths,"51,654",100,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Deaths,"51,542",100,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,March,12 month-ending,Number of Deaths,"51,662",100,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,April,12 month-ending,Number of Deaths,"51,787",100,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,May,12 month-ending,Number of Deaths,"51,933",100,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,June,12 month-ending,Number of Deaths,"51,988",100,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,July,12 month-ending,Number of Deaths,"52,007",100,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,August,12 month-ending,Number of Deaths,"51,868",99.5+,0.3,*Likely underreported due to incomplete data
AL,Alabama,2015,January,12 month-ending,Number of Drug Overdose Deaths,715,100,0.3,
AL,Alabama,2015,February,12 month-ending,Number of Drug Overdose Deaths,723,100,0.3,
AL,Alabama,2015,March,12 month-ending,Number of Drug Overdose Deaths,733,100,0.3,
AL,Alabama,2015,April,12 month-ending,Number of Drug Overdose Deaths,738,100,0.3,
AL,Alabama,2015,May,12 month-ending,Number of Drug Overdose Deaths,755,100,0.3,
AL,Alabama,2015,June,12 month-ending,Number of Drug Overdose Deaths,756,100,0.3,
AL,Alabama,2015,July,12 month-ending,Number of Drug Overdose Deaths,743,100,0.3,
AL,Alabama,2015,August,12 month-ending,Number of Drug Overdose Deaths,736,100,0.3,
AL,Alabama,2015,September,12 month-ending,Number of Drug Overdose Deaths,744,100,0.3,
AL,Alabama,2015,October,12 month-ending,Number of Drug Overdose Deaths,730,100,0.3,
AL,Alabama,2015,November,12 month-ending,Number of Drug Overdose Deaths,725,100,0.3,
AL,Alabama,2015,December,12 month-ending,Number of Drug Overdose Deaths,720,100,0.3,
AL,Alabama,2016,January,12 month-ending,Number of Drug Overdose Deaths,706,100,0.3,
AL,Alabama,2016,February,12 month-ending,Number of Drug Overdose Deaths,710,100,0.3,
AL,Alabama,2016,March,12 month-ending,Number of Drug Overdose Deaths,681,100,0.3,
AL,Alabama,2016,April,12 month-ending,Number of Drug Overdose Deaths,676,100,0.3,
AL,Alabama,2016,May,12 month-ending,Number of Drug Overdose Deaths,654,100,0.3,
AL,Alabama,2016,June,12 month-ending,Number of Drug Overdose Deaths,674,100,0.3,
AL,Alabama,2016,July,12 month-ending,Number of Drug Overdose Deaths,681,100,0.3,
AL,Alabama,2016,August,12 month-ending,Number of Drug Overdose Deaths,685,100,0.3,
AL,Alabama,2016,September,12 month-ending,Number of Drug Overdose Deaths,695,100,0.3,
AL,Alabama,2016,October,12 month-ending,Number of Drug Overdose Deaths,704,100,0.3,
AL,Alabama,2016,November,12 month-ending,Number of Drug Overdose Deaths,718,100,0.3,
AL,Alabama,2016,December,12 month-ending,Number of Drug Overdose Deaths,740,100,0.3,
AL,Alabama,2017,January,12 month-ending,Number of Drug Overdose Deaths,761,100,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Drug Overdose Deaths,757,100,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,March,12 month-ending,Number of Drug Overdose Deaths,790,100,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,April,12 month-ending,Number of Drug Overdose Deaths,790,100,0.3,*Likely underreported due to incomplete data
AL,Alabama,2017,May,12 month-ending,Number of Drug Overdose Deaths,807,100,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,June,12 month-ending,Number of Drug Overdose Deaths,798,100,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,July,12 month-ending,Number of Drug Overdose Deaths,801,100,0.2,*Likely underreported due to incomplete data
AL,Alabama,2017,August,12 month-ending,Number of Drug Overdose Deaths,799,99.5+,0.3,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Deaths,"30,122",100,0,
AR,Arkansas,2015,February,12 month-ending,Number of Deaths,"30,332",100,0,
AR,Arkansas,2015,March,12 month-ending,Number of Deaths,"30,387",100,0,
AR,Arkansas,2015,April,12 month-ending,Number of Deaths,"30,444",100,0,
AR,Arkansas,2015,May,12 month-ending,Number of Deaths,"30,602",100,0,
AR,Arkansas,2015,June,12 month-ending,Number of Deaths,"30,722",100,0,
AR,Arkansas,2015,July,12 month-ending,Number of Deaths,"30,685",100,0,
AR,Arkansas,2015,August,12 month-ending,Number of Deaths,"30,884",100,0,
AR,Arkansas,2015,September,12 month-ending,Number of Deaths,"30,931",100,0.1,
AR,Arkansas,2015,October,12 month-ending,Number of Deaths,"31,015",100,0.1,
AR,Arkansas,2015,November,12 month-ending,Number of Deaths,"31,007",100,0.1,
AR,Arkansas,2015,December,12 month-ending,Number of Deaths,"30,986",100,0.1,
AR,Arkansas,2016,January,12 month-ending,Number of Deaths,"30,624",100,0.1,
AR,Arkansas,2016,February,12 month-ending,Number of Deaths,"30,413",100,0.1,
AR,Arkansas,2016,March,12 month-ending,Number of Deaths,"30,421",100,0.1,
AR,Arkansas,2016,April,12 month-ending,Number of Deaths,"30,489",100,0.1,
AR,Arkansas,2016,May,12 month-ending,Number of Deaths,"30,361",100,0.1,
AR,Arkansas,2016,June,12 month-ending,Number of Deaths,"30,434",100,0.1,
AR,Arkansas,2016,July,12 month-ending,Number of Deaths,"30,590",100,0.1,
AR,Arkansas,2016,August,12 month-ending,Number of Deaths,"30,488",100,0.1,
AR,Arkansas,2016,September,12 month-ending,Number of Deaths,"30,540",100,0.1,
AR,Arkansas,2016,October,12 month-ending,Number of Deaths,"30,489",100,0.1,
AR,Arkansas,2016,November,12 month-ending,Number of Deaths,"30,697",100,0.1,
AR,Arkansas,2016,December,12 month-ending,Number of Deaths,"31,028",100,0.1,
AR,Arkansas,2017,January,12 month-ending,Number of Deaths,"31,114",100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,February,12 month-ending,Number of Deaths,"31,156",100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,March,12 month-ending,Number of Deaths,"31,305",100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,April,12 month-ending,Number of Deaths,"31,375",100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,May,12 month-ending,Number of Deaths,"31,488",100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,June,12 month-ending,Number of Deaths,"31,543",100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,July,12 month-ending,Number of Deaths,"31,531",100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,August,12 month-ending,Number of Deaths,"31,575",100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Drug Overdose Deaths,366,100,0,
AR,Arkansas,2015,February,12 month-ending,Number of Drug Overdose Deaths,366,100,0,
AR,Arkansas,2015,March,12 month-ending,Number of Drug Overdose Deaths,385,100,0,
AR,Arkansas,2015,April,12 month-ending,Number of Drug Overdose Deaths,373,100,0,
AR,Arkansas,2015,May,12 month-ending,Number of Drug Overdose Deaths,383,100,0,
AR,Arkansas,2015,June,12 month-ending,Number of Drug Overdose Deaths,391,100,0,
AR,Arkansas,2015,July,12 month-ending,Number of Drug Overdose Deaths,395,100,0,
AR,Arkansas,2015,August,12 month-ending,Number of Drug Overdose Deaths,398,100,0,
AR,Arkansas,2015,September,12 month-ending,Number of Drug Overdose Deaths,392,100,0.1,
AR,Arkansas,2015,October,12 month-ending,Number of Drug Overdose Deaths,397,100,0.1,
AR,Arkansas,2015,November,12 month-ending,Number of Drug Overdose Deaths,389,100,0.1,
AR,Arkansas,2015,December,12 month-ending,Number of Drug Overdose Deaths,381,100,0.1,
AR,Arkansas,2016,January,12 month-ending,Number of Drug Overdose Deaths,378,100,0.1,
AR,Arkansas,2016,February,12 month-ending,Number of Drug Overdose Deaths,379,100,0.1,
AR,Arkansas,2016,March,12 month-ending,Number of Drug Overdose Deaths,363,100,0.1,
AR,Arkansas,2016,April,12 month-ending,Number of Drug Overdose Deaths,372,100,0.1,
AR,Arkansas,2016,May,12 month-ending,Number of Drug Overdose Deaths,376,100,0.1,
AR,Arkansas,2016,June,12 month-ending,Number of Drug Overdose Deaths,369,100,0.1,
AR,Arkansas,2016,July,12 month-ending,Number of Drug Overdose Deaths,378,100,0.1,
AR,Arkansas,2016,August,12 month-ending,Number of Drug Overdose Deaths,383,100,0.1,
AR,Arkansas,2016,September,12 month-ending,Number of Drug Overdose Deaths,379,100,0.1,
AR,Arkansas,2016,October,12 month-ending,Number of Drug Overdose Deaths,372,100,0.1,
AR,Arkansas,2016,November,12 month-ending,Number of Drug Overdose Deaths,378,100,0.1,
AR,Arkansas,2016,December,12 month-ending,Number of Drug Overdose Deaths,386,100,0.1,
AR,Arkansas,2017,January,12 month-ending,Number of Drug Overdose Deaths,383,100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,February,12 month-ending,Number of Drug Overdose Deaths,378,100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,March,12 month-ending,Number of Drug Overdose Deaths,382,100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,April,12 month-ending,Number of Drug Overdose Deaths,384,100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,May,12 month-ending,Number of Drug Overdose Deaths,380,100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,June,12 month-ending,Number of Drug Overdose Deaths,395,100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,July,12 month-ending,Number of Drug Overdose Deaths,391,100,0.1,*Likely underreported due to incomplete data
AR,Arkansas,2017,August,12 month-ending,Number of Drug Overdose Deaths,401,100,0.1,*Likely underreported due to incomplete data
AZ,Arizona,2015,January,12 month-ending,Number of Deaths,"52,342",100,0.3,
AZ,Arizona,2015,February,12 month-ending,Number of Deaths,"52,371",100,0.3,
AZ,Arizona,2015,March,12 month-ending,Number of Deaths,"52,826",100,0.3,
AZ,Arizona,2015,April,12 month-ending,Number of Deaths,"53,025",100,0.3,
AZ,Arizona,2015,May,12 month-ending,Number of Deaths,"53,225",100,0.3,
AZ,Arizona,2015,June,12 month-ending,Number of Deaths,"53,462",100,0.3,
AZ,Arizona,2015,July,12 month-ending,Number of Deaths,"53,685",100,0.3,
AZ,Arizona,2015,August,12 month-ending,Number of Deaths,"53,907",100,0.3,
AZ,Arizona,2015,September,12 month-ending,Number of Deaths,"54,058",100,0.3,
AZ,Arizona,2015,October,12 month-ending,Number of Deaths,"54,122",100,0.2,
AZ,Arizona,2015,November,12 month-ending,Number of Deaths,"54,421",100,0.2,
AZ,Arizona,2015,December,12 month-ending,Number of Deaths,"54,853",100,0.2,
AZ,Arizona,2016,January,12 month-ending,Number of Deaths,"54,917",100,0.2,
AZ,Arizona,2016,February,12 month-ending,Number of Deaths,"55,755",100,0.1,
AZ,Arizona,2016,March,12 month-ending,Number of Deaths,"56,319",100,0.2,
AZ,Arizona,2016,April,12 month-ending,Number of Deaths,"56,436",100,0.2,
AZ,Arizona,2016,May,12 month-ending,Number of Deaths,"56,522",100,0.2,
AZ,Arizona,2016,June,12 month-ending,Number of Deaths,"56,648",100,0.3,
AZ,Arizona,2016,July,12 month-ending,Number of Deaths,"56,865",100,0.3,
AZ,Arizona,2016,August,12 month-ending,Number of Deaths,"56,960",100,0.4,
AZ,Arizona,2016,September,12 month-ending,Number of Deaths,"57,051",100,0.4,
AZ,Arizona,2016,October,12 month-ending,Number of Deaths,"57,277",100,0.5,
AZ,Arizona,2016,November,12 month-ending,Number of Deaths,"57,252",100,0.5,
AZ,Arizona,2016,December,12 month-ending,Number of Deaths,"57,215",100,0.6,
AZ,Arizona,2017,January,12 month-ending,Number of Deaths,"57,225",100,0.6,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Deaths,"56,612",100,0.6,*Likely underreported due to incomplete data
AZ,Arizona,2017,March,12 month-ending,Number of Deaths,"56,270",100,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,April,12 month-ending,Number of Deaths,"56,452",100,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,May,12 month-ending,Number of Deaths,"56,718",100,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,June,12 month-ending,Number of Deaths,"57,009",100,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,July,12 month-ending,Number of Deaths,"57,211",100,0.8,*Likely underreported due to incomplete data
AZ,Arizona,2017,August,12 month-ending,Number of Deaths,"57,307",100,0.8,*Likely underreported due to incomplete data
AZ,Arizona,2015,January,12 month-ending,Number of Drug Overdose Deaths,"1,193",100,0.3,
AZ,Arizona,2015,February,12 month-ending,Number of Drug Overdose Deaths,"1,175",100,0.3,
AZ,Arizona,2015,March,12 month-ending,Number of Drug Overdose Deaths,"1,174",100,0.3,
AZ,Arizona,2015,April,12 month-ending,Number of Drug Overdose Deaths,"1,173",100,0.3,
AZ,Arizona,2015,May,12 month-ending,Number of Drug Overdose Deaths,"1,184",100,0.3,
AZ,Arizona,2015,June,12 month-ending,Number of Drug Overdose Deaths,"1,209",100,0.3,
AZ,Arizona,2015,July,12 month-ending,Number of Drug Overdose Deaths,"1,201",100,0.3,
AZ,Arizona,2015,August,12 month-ending,Number of Drug Overdose Deaths,"1,240",100,0.3,
AZ,Arizona,2015,September,12 month-ending,Number of Drug Overdose Deaths,"1,241",100,0.3,
AZ,Arizona,2015,October,12 month-ending,Number of Drug Overdose Deaths,"1,264",100,0.2,
AZ,Arizona,2015,November,12 month-ending,Number of Drug Overdose Deaths,"1,269",100,0.2,
AZ,Arizona,2015,December,12 month-ending,Number of Drug Overdose Deaths,"1,267",100,0.2,
AZ,Arizona,2016,January,12 month-ending,Number of Drug Overdose Deaths,"1,298",100,0.2,
AZ,Arizona,2016,February,12 month-ending,Number of Drug Overdose Deaths,"1,307",100,0.1,
AZ,Arizona,2016,March,12 month-ending,Number of Drug Overdose Deaths,"1,313",100,0.2,
AZ,Arizona,2016,April,12 month-ending,Number of Drug Overdose Deaths,"1,335",100,0.2,
AZ,Arizona,2016,May,12 month-ending,Number of Drug Overdose Deaths,"1,350",100,0.2,
AZ,Arizona,2016,June,12 month-ending,Number of Drug Overdose Deaths,"1,370",100,0.3,
AZ,Arizona,2016,July,12 month-ending,Number of Drug Overdose Deaths,"1,421",100,0.3,
AZ,Arizona,2016,August,12 month-ending,Number of Drug Overdose Deaths,"1,410",100,0.4,
AZ,Arizona,2016,September,12 month-ending,Number of Drug Overdose Deaths,"1,404",100,0.4,
AZ,Arizona,2016,October,12 month-ending,Number of Drug Overdose Deaths,"1,405",100,0.5,
AZ,Arizona,2016,November,12 month-ending,Number of Drug Overdose Deaths,"1,397",100,0.5,
AZ,Arizona,2016,December,12 month-ending,Number of Drug Overdose Deaths,"1,393",100,0.6,
AZ,Arizona,2017,January,12 month-ending,Number of Drug Overdose Deaths,"1,417",100,0.6,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Drug Overdose Deaths,"1,410",100,0.6,*Likely underreported due to incomplete data
AZ,Arizona,2017,March,12 month-ending,Number of Drug Overdose Deaths,"1,426",100,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,April,12 month-ending,Number of Drug Overdose Deaths,"1,412",100,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,May,12 month-ending,Number of Drug Overdose Deaths,"1,427",100,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,June,12 month-ending,Number of Drug Overdose Deaths,"1,440",100,0.7,*Likely underreported due to incomplete data
AZ,Arizona,2017,July,12 month-ending,Number of Drug Overdose Deaths,"1,426",100,0.8,*Likely underreported due to incomplete data
AZ,Arizona,2017,August,12 month-ending,Number of Drug Overdose Deaths,"1,442",100,0.8,*Likely underreported due to incomplete data
CA,California,2015,January,12 month-ending,Number of Deaths,"248,191",100,0.2,
CA,California,2015,February,12 month-ending,Number of Deaths,"249,920",100,0.2,
CA,California,2015,March,12 month-ending,Number of Deaths,"251,540",100,0.2,
CA,California,2015,April,12 month-ending,Number of Deaths,"252,831",100,0.2,
CA,California,2015,May,12 month-ending,Number of Deaths,"253,858",100,0.2,
CA,California,2015,June,12 month-ending,Number of Deaths,"254,838",100,0.2,
CA,California,2015,July,12 month-ending,Number of Deaths,"255,417",100,0.2,
CA,California,2015,August,12 month-ending,Number of Deaths,"256,464",100,0.2,
CA,California,2015,September,12 month-ending,Number of Deaths,"257,163",100,0.3,
CA,California,2015,October,12 month-ending,Number of Deaths,"257,750",100,0.3,
CA,California,2015,November,12 month-ending,Number of Deaths,"258,808",100,0.3,
CA,California,2015,December,12 month-ending,Number of Deaths,"260,172",100,0.4,
CA,California,2016,January,12 month-ending,Number of Deaths,"259,303",100,0.4,
CA,California,2016,February,12 month-ending,Number of Deaths,"260,508",100,0.4,
CA,California,2016,March,12 month-ending,Number of Deaths,"261,416",100,0.4,
CA,California,2016,April,12 month-ending,Number of Deaths,"261,595",100,0.4,
CA,California,2016,May,12 month-ending,Number of Deaths,"261,557",100,0.4,
CA,California,2016,June,12 month-ending,Number of Deaths,"261,467",100,0.4,
CA,California,2016,July,12 month-ending,Number of Deaths,"261,603",100,0.4,
CA,California,2016,August,12 month-ending,Number of Deaths,"261,781",100,0.4,
CA,California,2016,September,12 month-ending,Number of Deaths,"262,041",100,0.4,
CA,California,2016,October,12 month-ending,Number of Deaths,"262,751",100,0.4,
CA,California,2016,November,12 month-ending,Number of Deaths,"262,360",100,0.4,
CA,California,2016,December,12 month-ending,Number of Deaths,"263,199",100,0.4,
CA,California,2017,January,12 month-ending,Number of Deaths,"265,341",100,0.4,*Likely underreported due to incomplete data
CA,California,2017,February,12 month-ending,Number of Deaths,"264,890",100,0.4,*Likely underreported due to incomplete data
CA,California,2017,March,12 month-ending,Number of Deaths,"264,765",100,0.4,*Likely underreported due to incomplete data
CA,California,2017,April,12 month-ending,Number of Deaths,"265,283",100,0.4,*Likely underreported due to incomplete data
CA,California,2017,May,12 month-ending,Number of Deaths,"265,945",100,0.5,*Likely underreported due to incomplete data
CA,California,2017,June,12 month-ending,Number of Deaths,"266,882",100,0.5,*Likely underreported due to incomplete data
CA,California,2017,July,12 month-ending,Number of Deaths,"267,289",100,0.5,*Likely underreported due to incomplete data
CA,California,2017,August,12 month-ending,Number of Deaths,"265,896",99.5,0.6,*Likely underreported due to incomplete data
CA,California,2015,January,12 month-ending,Number of Drug Overdose Deaths,"4,603",100,0.2,
CA,California,2015,February,12 month-ending,Number of Drug Overdose Deaths,"4,616",100,0.2,
CA,California,2015,March,12 month-ending,Number of Drug Overdose Deaths,"4,608",100,0.2,
CA,California,2015,April,12 month-ending,Number of Drug Overdose Deaths,"4,625",100,0.2,
CA,California,2015,May,12 month-ending,Number of Drug Overdose Deaths,"4,607",100,0.2,
CA,California,2015,June,12 month-ending,Number of Drug Overdose Deaths,"4,604",100,0.2,
CA,California,2015,July,12 month-ending,Number of Drug Overdose Deaths,"4,628",100,0.2,
CA,California,2015,August,12 month-ending,Number of Drug Overdose Deaths,"4,670",100,0.2,
CA,California,2015,September,12 month-ending,Number of Drug Overdose Deaths,"4,747",100,0.3,
CA,California,2015,October,12 month-ending,Number of Drug Overdose Deaths,"4,784",100,0.3,
CA,California,2015,November,12 month-ending,Number of Drug Overdose Deaths,"4,747",100,0.3,
CA,California,2015,December,12 month-ending,Number of Drug Overdose Deaths,"4,762",100,0.4,
CA,California,2016,January,12 month-ending,Number of Drug Overdose Deaths,"4,745",100,0.4,
CA,California,2016,February,12 month-ending,Number of Drug Overdose Deaths,"4,745",100,0.4,
CA,California,2016,March,12 month-ending,Number of Drug Overdose Deaths,"4,768",100,0.4,
CA,California,2016,April,12 month-ending,Number of Drug Overdose Deaths,"4,795",100,0.4,
CA,California,2016,May,12 month-ending,Number of Drug Overdose Deaths,"4,811",100,0.4,
CA,California,2016,June,12 month-ending,Number of Drug Overdose Deaths,"4,844",100,0.4,
CA,California,2016,July,12 month-ending,Number of Drug Overdose Deaths,"4,816",100,0.4,
