County,Year,Deaths,Population,Percent,Rate
Medina,2013,11,86221,0.000127579,12.7579
Medina,2014,12,86910,0.000138074,13.8074
Medina,2015,25,87197,0.000286707,28.6707
Miami,2008,16,50413,0.000317378,31.7378
Miami,2010,12,50386,0.000238161,23.8161
Miami,2012,13,50769,0.000256062,25.6062
Miami,2013,10,50908,0.000196433,19.6433
Miami,2014,12,51272,0.000234046,23.4046
Miami,2015,22,104224,0.000211084,21.1084
Montgomery,1999,58,561944,0.000103213,10.3213
Montgomery,2000,55,559062,9.84E-05,9.83791
Montgomery,2001,73,555536,0.000131405,13.1405
Montgomery,2002,112,553170,0.000202469,20.2469
Montgomery,2003,55,551742,9.97E-05,9.96843
Montgomery,2004,130,549713,0.000236487,23.6487
Montgomery,2005,120,546979,0.000219387,21.9387
Montgomery,2006,125,543620,0.00022994,22.994
Montgomery,2007,137,540667,0.000253391,25.3391
Montgomery,2008,148,537664,0.000275265,27.5265
Montgomery,2009,94,535294,0.000175604,17.5604
Montgomery,2010,115,535153,0.000214892,21.4892
Montgomery,2011,131,534923,0.000244895,24.4895
Montgomery,2012,155,534782,0.000289838,28.9838
Montgomery,2013,201,534336,0.000376168,37.6168
Montgomery,2014,256,532515,0.000480738,48.0738
Montgomery,2015,245,532258,0.000460303,46.0303
Pickaway,2012,10,29686,0.000336859,33.6859
Pike,2011,11,14204,0.00077443,77.443
Portage,2010,10,78841,0.000126838,12.6838
Portage,2012,10,78961,0.000126645,12.6645
Portage,2013,24,161593,0.000148521,14.8521
Portage,2014,30,162235,0.000184917,18.4917
Portage,2015,36,162275,0.000221846,22.1846
Preble,2015,10,20481,0.000488257,48.8257
Richland,2005,10,64533,0.000154959,15.4959
Richland,2009,10,63364,0.000157818,15.7818
Richland,2011,13,62318,0.000208607,20.8607
Richland,2013,16,62000,0.000258065,25.8065
Richland,2014,32,121914,0.00026248,26.248
Richland,2015,38,121707,0.000312225,31.2225
Ross,2007,15,40886,0.000366874,36.6874
Ross,2008,21,77675,0.000270357,27.0357
Ross,2009,12,41150,0.000291616,29.1616
Ross,2010,12,41167,0.000291496,29.1496
Ross,2011,12,40697,0.000294862,29.4862
Ross,2013,10,40462,0.000247145,24.7145
Ross,2014,30,77115,0.000389029,38.9029
Ross,2015,40,77170,0.000518336,51.8336
Scioto,2002,11,38622,0.000284812,28.4812
Scioto,2005,13,38334,0.000339125,33.9125
Scioto,2007,12,39902,0.000300737,30.0737
Scioto,2008,11,39090,0.000281402,28.1402
Scioto,2009,13,39066,0.00033277,33.277
Scioto,2010,22,79499,0.000276733,27.6733
Scioto,2011,16,39000,0.000410256,41.0256
Scioto,2012,10,38729,0.000258204,25.8204
Scioto,2013,11,38512,0.000285625,28.5625
Scioto,2014,24,77326,0.000310374,31.0374
Scioto,2015,31,76825,0.000403514,40.3514
Seneca,2014,10,27859,0.00035895,35.895
Shelby,2008,10,24678,0.000405219,40.5219
Stark,2005,16,181600,8.81E-05,8.81057
Stark,2006,17,181721,9.36E-05,9.355
Stark,2007,30,376877,7.96E-05,7.96016
Stark,2008,28,182231,0.000153651,15.3651
Stark,2009,21,376210,5.58E-05,5.58199
Stark,2010,53,375586,0.000141113,14.1113
Stark,2011,43,374292,0.000114884,11.4884
Stark,2012,39,374807,0.000104054,10.4054
Stark,2013,45,374992,0.000120003,12.0003
Stark,2014,63,375638,0.000167715,16.7715
Stark,2015,65,375165,0.000173257,17.3257
Summit,1999,12,260757,4.60E-05,4.60199
Summit,2000,11,261471,4.21E-05,4.20697
Summit,2001,33,544554,6.06E-05,6.06001
Summit,2002,52,544866,9.54E-05,9.54363
Summit,2003,48,545163,8.80E-05,8.80471
Summit,2004,60,545037,0.000110084,11.0084
Summit,2005,50,545029,9.17E-05,9.17382
Summit,2006,56,544660,0.000102816,10.2816
Summit,2007,68,544275,0.000124937,12.4937
Summit,2008,52,543116,9.57E-05,9.57438
Summit,2009,40,542135,7.38E-05,7.37824
Summit,2010,73,541781,0.000134741,13.4741
Summit,2011,63,541281,0.000116391,11.6391
Summit,2012,96,541192,0.000177386,17.7386
Summit,2013,80,542195,0.000147548,14.7548
Summit,2014,123,542600,0.000226686,22.6686
Summit,2015,178,541968,0.000328433,32.8433
Trumbull,2000,10,108969,9.18E-05,9.17692
Trumbull,2002,14,107913,0.000129734,12.9734
Trumbull,2003,16,107037,0.000149481,14.9481
Trumbull,2004,33,106426,0.000310075,31.0075
Trumbull,2005,30,217926,0.000137661,13.7661
Trumbull,2006,23,104890,0.000219277,21.9277
Trumbull,2007,63,214296,0.000293986,29.3986
Trumbull,2008,47,212191,0.000221499,22.1499
Trumbull,2009,30,211290,0.000141985,14.1985
Trumbull,2010,49,210312,0.000232987,23.2987
Trumbull,2011,63,208952,0.000301505,30.1505
Trumbull,2012,38,207399,0.000183222,18.3222
Trumbull,2013,42,206508,0.000203382,20.3382
Trumbull,2014,57,205255,0.000277703,27.7703
Trumbull,2015,90,203751,0.000441716,44.1716
Warren,2003,10,91830,0.000108897,10.8897
Warren,2004,10,95220,0.00010502,10.502
Warren,2005,13,98499,0.000131981,13.1981
Warren,2006,10,101068,9.89E-05,9.89433
Warren,2007,16,103313,0.000154869,15.4869
Warren,2008,33,208640,0.000158167,15.8167
Warren,2009,17,106268,0.000159973,15.9973
Warren,2010,26,212693,0.000122242,12.2242
Warren,2011,19,108386,0.000175299,17.5299
Warren,2012,26,109218,0.000238056,23.8056
Warren,2013,20,110317,0.000181296,18.1296
Warren,2014,41,221816,0.000184838,18.4838
Warren,2015,44,224469,0.000196018,19.6018
Wayne,2015,23,116063,0.000198168,19.8168
Wood,2014,13,63873,0.000203529,20.3529
Wood,2015,20,64110,0.000311964,31.1964
