Cause of death,Cause of death Code,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
Caecum - Malignant neoplasms,C18.0,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Appendix - Malignant neoplasms,C18.1,2011,24,11545442,0.2,0.2
Appendix - Malignant neoplasms,C18.1,2012,33,11551783,0.3,0.2
Appendix - Malignant neoplasms,C18.1,2013,30,11572232,0.3,0.2
Appendix - Malignant neoplasms,C18.1,2014,29,11596998,0.3,0.2
Appendix - Malignant neoplasms,C18.1,2015,42,11613423,0.4,0.3
Sigmoid colon - Malignant neoplasms,C18.7,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Sigmoid colon - Malignant neoplasms,C18.7,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Sigmoid colon - Malignant neoplasms,C18.7,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Sigmoid colon - Malignant neoplasms,C18.7,2014,19,11596998,0.2 (Unreliable),0.1 (Unreliable)
Sigmoid colon - Malignant neoplasms,C18.7,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Colon, unspecified - Malignant neoplasms",C18.9,2011,1732,11545442,15,12.7
"Colon, unspecified - Malignant neoplasms",C18.9,2012,1750,11551783,15.1,12.7
"Colon, unspecified - Malignant neoplasms",C18.9,2013,1764,11572232,15.2,12.6
"Colon, unspecified - Malignant neoplasms",C18.9,2014,1726,11596998,14.9,12.1
"Colon, unspecified - Malignant neoplasms",C18.9,2015,1667,11613423,14.4,11.5
Malignant neoplasm of rectosigmoid junction,C19,2011,160,11545442,1.4,1.2
Malignant neoplasm of rectosigmoid junction,C19,2012,120,11551783,1,0.9
Malignant neoplasm of rectosigmoid junction,C19,2013,131,11572232,1.1,1
Malignant neoplasm of rectosigmoid junction,C19,2014,113,11596998,1,0.8
Malignant neoplasm of rectosigmoid junction,C19,2015,116,11613423,1,0.8
Malignant neoplasm of rectum,C20,2011,294,11545442,2.5,2.2
Malignant neoplasm of rectum,C20,2012,285,11551783,2.5,2.1
Malignant neoplasm of rectum,C20,2013,290,11572232,2.5,2.1
Malignant neoplasm of rectum,C20,2014,336,11596998,2.9,2.3
Malignant neoplasm of rectum,C20,2015,296,11613423,2.5,2.1
"Anus, unspecified - Malignant neoplasms",C21.0,2011,28,11545442,0.2,0.2
"Anus, unspecified - Malignant neoplasms",C21.0,2012,37,11551783,0.3,0.3
"Anus, unspecified - Malignant neoplasms",C21.0,2013,31,11572232,0.3,0.2
"Anus, unspecified - Malignant neoplasms",C21.0,2014,41,11596998,0.4,0.3
"Anus, unspecified - Malignant neoplasms",C21.0,2015,38,11613423,0.3,0.3
Liver cell carcinoma - Malignant neoplasms,C22.0,2011,312,11545442,2.7,2.2
Liver cell carcinoma - Malignant neoplasms,C22.0,2012,342,11551783,3,2.4
Liver cell carcinoma - Malignant neoplasms,C22.0,2013,326,11572232,2.8,2.2
Liver cell carcinoma - Malignant neoplasms,C22.0,2014,336,11596998,2.9,2.3
Liver cell carcinoma - Malignant neoplasms,C22.0,2015,360,11613423,3.1,2.4
Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,2011,209,11545442,1.8,1.5
Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,2012,226,11551783,2,1.7
Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,2013,231,11572232,2,1.6
Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,2014,246,11596998,2.1,1.7
Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,2015,259,11613423,2.2,1.8
"Liver, unspecified - Malignant neoplasms",C22.9,2011,239,11545442,2.1,1.7
"Liver, unspecified - Malignant neoplasms",C22.9,2012,256,11551783,2.2,1.8
"Liver, unspecified - Malignant neoplasms",C22.9,2013,270,11572232,2.3,1.9
"Liver, unspecified - Malignant neoplasms",C22.9,2014,257,11596998,2.2,1.8
"Liver, unspecified - Malignant neoplasms",C22.9,2015,284,11613423,2.4,1.9
Malignant neoplasm of gallbladder,C23,2011,100,11545442,0.9,0.7
Malignant neoplasm of gallbladder,C23,2012,100,11551783,0.9,0.7
Malignant neoplasm of gallbladder,C23,2013,69,11572232,0.6,0.5
Malignant neoplasm of gallbladder,C23,2014,86,11596998,0.7,0.6
Malignant neoplasm of gallbladder,C23,2015,90,11613423,0.8,0.6
Extrahepatic bile duct - Malignant neoplasms,C24.0,2011,23,11545442,0.2,0.2
Extrahepatic bile duct - Malignant neoplasms,C24.0,2012,26,11551783,0.2,0.2
Extrahepatic bile duct - Malignant neoplasms,C24.0,2013,24,11572232,0.2,0.2
Extrahepatic bile duct - Malignant neoplasms,C24.0,2014,28,11596998,0.2,0.2
Extrahepatic bile duct - Malignant neoplasms,C24.0,2015,20,11613423,0.2,0.1
"Biliary tract, unspecified - Malignant neoplasms",C24.9,2011,28,11545442,0.2,0.2
"Biliary tract, unspecified - Malignant neoplasms",C24.9,2012,31,11551783,0.3,0.2
"Biliary tract, unspecified - Malignant neoplasms",C24.9,2013,28,11572232,0.2,0.2
"Biliary tract, unspecified - Malignant neoplasms",C24.9,2014,30,11596998,0.3,0.2
"Biliary tract, unspecified - Malignant neoplasms",C24.9,2015,29,11613423,0.2,0.2
"Pancreas, unspecified - Malignant neoplasms",C25.9,2011,1546,11545442,13.4,11.4
"Pancreas, unspecified - Malignant neoplasms",C25.9,2012,1649,11551783,14.3,11.8
"Pancreas, unspecified - Malignant neoplasms",C25.9,2013,1551,11572232,13.4,11
"Pancreas, unspecified - Malignant neoplasms",C25.9,2014,1684,11596998,14.5,11.7
"Pancreas, unspecified - Malignant neoplasms",C25.9,2015,1763,11613423,15.2,12.1
"Intestinal tract, part unspecified - Malignant neoplasms",C26.0,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Intestinal tract, part unspecified - Malignant neoplasms",C26.0,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Intestinal tract, part unspecified - Malignant neoplasms",C26.0,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
"Intestinal tract, part unspecified - Malignant neoplasms",C26.0,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Intestinal tract, part unspecified - Malignant neoplasms",C26.0,2015,11,11613423,0.1 (Unreliable),0.1 (Unreliable)
Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,2011,35,11545442,0.3,0.3
Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,2012,51,11551783,0.4,0.4
Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,2013,36,11572232,0.3,0.3
Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,2014,45,11596998,0.4,0.3
Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,2015,37,11613423,0.3,0.2
Maxillary sinus - Malignant neoplasms,C31.0,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Accessory sinus, unspecified - Malignant neoplasms",C31.9,2015,15,11613423,0.1 (Unreliable),0.1 (Unreliable)
Glottis - Malignant neoplasms,C32.0,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Supraglottis - Malignant neoplasms,C32.1,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Supraglottis - Malignant neoplasms,C32.1,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Supraglottis - Malignant neoplasms,C32.1,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
Supraglottis - Malignant neoplasms,C32.1,2014,26,11596998,0.2,0.2
Supraglottis - Malignant neoplasms,C32.1,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Larynx, unspecified - Malignant neoplasms",C32.9,2011,166,11545442,1.4,1.2
"Larynx, unspecified - Malignant neoplasms",C32.9,2012,161,11551783,1.4,1.2
"Larynx, unspecified - Malignant neoplasms",C32.9,2013,150,11572232,1.3,1
"Larynx, unspecified - Malignant neoplasms",C32.9,2014,166,11596998,1.4,1.1
"Larynx, unspecified - Malignant neoplasms",C32.9,2015,165,11613423,1.4,1.1
"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,2011,28,11545442,0.2,0.2
"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,2012,26,11551783,0.2,0.2
"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,2013,16,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,2015,29,11613423,0.2,0.2
"Lower lobe, bronchus or lung - Malignant neoplasms",C34.3,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,2011,7366,11545442,63.8,54.3
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,2012,7493,11551783,64.9,54.1
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,2013,7234,11572232,62.5,51.2
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,2014,7131,11596998,61.5,49.6
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,2015,7145,11613423,61.5,48.5
Malignant neoplasm of thymus,C37,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,2011,33,11545442,0.3,0.3
"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,2012,35,11551783,0.3,0.3
"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,2013,34,11572232,0.3,0.3
"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,2014,29,11596998,0.3,0.2
"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,2015,40,11613423,0.3,0.3
"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,2011,351,11545442,3,2.6
"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,2012,393,11551783,3.4,2.9
"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,2013,386,11572232,3.3,2.8
"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,2014,405,11596998,3.5,2.9
"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,2015,350,11613423,3,2.5
Skin of other and unspecified parts of face - Malignant neoplasms,C44.3,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Skin of other and unspecified parts of face - Malignant neoplasms,C44.3,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Skin of scalp and neck - Malignant neoplasms,C44.4,2011,44,11545442,0.4,0.3
Skin of scalp and neck - Malignant neoplasms,C44.4,2012,35,11551783,0.3,0.2
Skin of scalp and neck - Malignant neoplasms,C44.4,2013,47,11572232,0.4,0.3
Skin of scalp and neck - Malignant neoplasms,C44.4,2014,55,11596998,0.5,0.4
Skin of scalp and neck - Malignant neoplasms,C44.4,2015,39,11613423,0.3,0.3
"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,2011,57,11545442,0.5,0.4
"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,2012,49,11551783,0.4,0.4
"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,2013,65,11572232,0.6,0.5
"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,2014,78,11596998,0.7,0.5
"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,2015,73,11613423,0.6,0.5
