Year,Race,Race Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Age Adjusted Rate
2000,Black or African American,2054-5,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,11,1359717,0.8 (Unreliable),1.0 (Unreliable)
2000,Black or African American,2054-5,Malignant neoplasms of independent (primary) multiple sites,C97,36,1359717,2.6,3.7
2000,Black or African American,2054-5,Sickle-cell anaemia without crisis,D57.1,10,1359717,0.7 (Unreliable),0.8 (Unreliable)
2000,Black or African American,2054-5,"Anaemia, unspecified",D64.9,17,1359717,1.3 (Unreliable),1.9 (Unreliable)
2000,Black or African American,2054-5,"Sarcoidosis, unspecified",D86.9,10,1359717,0.7 (Unreliable),0.9 (Unreliable)
2000,Black or African American,2054-5,"Insulin-dependent diabetes mellitus, without complications",E10.9,34,1359717,2.5,3.4
2000,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,16,1359717,1.2 (Unreliable),1.7 (Unreliable)
2000,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,61,1359717,4.5,6.4
2000,Black or African American,2054-5,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,16,1359717,1.2 (Unreliable),1.3 (Unreliable)
2000,Black or African American,2054-5,"Unspecified diabetes mellitus, with renal complications",E14.2,16,1359717,1.2 (Unreliable),1.6 (Unreliable)
2000,Black or African American,2054-5,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,56,1359717,4.1,6
2000,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,303,1359717,22.3,30.6
2000,Black or African American,2054-5,Unspecified protein-energy malnutrition,E46,21,1359717,1.5,2.4
2000,Black or African American,2054-5,"Obesity, unspecified",E66.9,13,1359717,1.0 (Unreliable),1.2 (Unreliable)
2000,Black or African American,2054-5,Volume depletion,E86,24,1359717,1.8,2.8
2000,Black or African American,2054-5,Unspecified dementia,F03,164,1359717,12.1,19.2
2000,Black or African American,2054-5,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,11,1359717,0.8 (Unreliable),1.0 (Unreliable)
2000,Black or African American,2054-5,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,12,1359717,0.9 (Unreliable),1.1 (Unreliable)
2000,Black or African American,2054-5,Motor neuron disease,G12.2,13,1359717,1.0 (Unreliable),1.3 (Unreliable)
2000,Black or African American,2054-5,Parkinson's disease,G20,16,1359717,1.2 (Unreliable),1.8 (Unreliable)
2000,Black or African American,2054-5,"Alzheimer's disease, unspecified",G30.9,136,1359717,10,15.8
2000,Black or African American,2054-5,Multiple sclerosis,G35,16,1359717,1.2 (Unreliable),1.5 (Unreliable)
2000,Black or African American,2054-5,"Anoxic brain damage, not elsewhere classified",G93.1,32,1359717,2.4,3.1
2000,Black or African American,2054-5,Essential (primary) hypertension,I10,79,1359717,5.8,8.5
2000,Black or African American,2054-5,Hypertensive heart disease with (congestive) heart failure,I11.0,66,1359717,4.9,7.2
2000,Black or African American,2054-5,Hypertensive heart disease without (congestive) heart failure,I11.9,194,1359717,14.3,18.6
2000,Black or African American,2054-5,Hypertensive renal disease with renal failure,I12.0,82,1359717,6,8.5
2000,Black or African American,2054-5,Hypertensive heart and renal disease with renal failure,I13.1,16,1359717,1.2 (Unreliable),1.6 (Unreliable)
2000,Black or African American,2054-5,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,18,1359717,1.3 (Unreliable),2.0 (Unreliable)
2000,Black or African American,2054-5,"Acute myocardial infarction, unspecified",I21.9,680,1359717,50,70.4
2000,Black or African American,2054-5,"Atherosclerotic cardiovascular disease, so described",I25.0,278,1359717,20.4,27.7
2000,Black or African American,2054-5,Atherosclerotic heart disease,I25.1,1209,1359717,88.9,127.3
2000,Black or African American,2054-5,Ischaemic cardiomyopathy,I25.5,51,1359717,3.8,5
2000,Black or African American,2054-5,"Chronic ischaemic heart disease, unspecified",I25.9,27,1359717,2,2.8
2000,Black or African American,2054-5,Pulmonary embolism without mention of acute cor pulmonale,I26.9,45,1359717,3.3,4.3
2000,Black or African American,2054-5,Primary pulmonary hypertension,I27.0,22,1359717,1.6,2.1
2000,Black or African American,2054-5,"Endocarditis, valve unspecified",I38,20,1359717,1.5,1.9
2000,Black or African American,2054-5,Dilated cardiomyopathy,I42.0,42,1359717,3.1,3.9
2000,Black or African American,2054-5,Other hypertrophic cardiomyopathy,I42.2,32,1359717,2.4,2.8
2000,Black or African American,2054-5,"Cardiomyopathy, unspecified",I42.9,121,1359717,8.9,11.9
2000,Black or African American,2054-5,"Sudden cardiac death, so described",I46.1,13,1359717,1.0 (Unreliable),1.4 (Unreliable)
2000,Black or African American,2054-5,"Cardiac arrest, unspecified",I46.9,49,1359717,3.6,5.1
2000,Black or African American,2054-5,Atrial fibrillation and flutter,I48,17,1359717,1.3 (Unreliable),1.8 (Unreliable)
2000,Black or African American,2054-5,"Cardiac arrhythmia, unspecified",I49.9,38,1359717,2.8,4.1
2000,Black or African American,2054-5,Congestive heart failure,I50.0,173,1359717,12.7,18.8
2000,Black or African American,2054-5,"Heart failure, unspecified",I50.9,16,1359717,1.2 (Unreliable),1.7 (Unreliable)
2000,Black or African American,2054-5,"Cardiovascular disease, unspecified",I51.6,10,1359717,0.7 (Unreliable),1.1 (Unreliable)
2000,Black or African American,2054-5,"Heart disease, unspecified",I51.9,13,1359717,1.0 (Unreliable),1.4 (Unreliable)
2000,Black or African American,2054-5,"Subarachnoid haemorrhage, unspecified",I60.9,41,1359717,3,3.8
2000,Black or African American,2054-5,"Intracerebral haemorrhage, unspecified",I61.9,85,1359717,6.3,8.3
2000,Black or African American,2054-5,Subdural haemorrhage (acute)(nontraumatic),I62.0,12,1359717,0.9 (Unreliable),1.3 (Unreliable)
2000,Black or African American,2054-5,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,28,1359717,2.1,2.6
2000,Black or African American,2054-5,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,11,1359717,0.8 (Unreliable),1.3 (Unreliable)
2000,Black or African American,2054-5,"Cerebral infarction, unspecified",I63.9,41,1359717,3,4.6
2000,Black or African American,2054-5,"Stroke, not specified as haemorrhage or infarction",I64,407,1359717,29.9,44.2
2000,Black or African American,2054-5,Cerebral atherosclerosis,I67.2,11,1359717,0.8 (Unreliable),1.3 (Unreliable)
2000,Black or African American,2054-5,"Cerebrovascular disease, unspecified",I67.9,23,1359717,1.7,2.6
2000,Black or African American,2054-5,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,60,1359717,4.4,6.7
2000,Black or African American,2054-5,Sequelae of other and unspecified cerebrovascular diseases,I69.8,23,1359717,1.7,2.5
2000,Black or African American,2054-5,Generalized and unspecified atherosclerosis,I70.9,23,1359717,1.7,2.5
2000,Black or African American,2054-5,Dissection of aorta [any part],I71.0,25,1359717,1.8,2.3
2000,Black or African American,2054-5,"Abdominal aortic aneurysm, ruptured",I71.3,11,1359717,0.8 (Unreliable),1.1 (Unreliable)
2000,Black or African American,2054-5,"Peripheral vascular disease, unspecified",I73.9,61,1359717,4.5,6.7
2000,Black or African American,2054-5,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,27,1359717,2,2.6
2000,Black or African American,2054-5,"Pneumonia, unspecified",J18.9,167,1359717,12.3,18.3
2000,Black or African American,2054-5,"Emphysema, unspecified",J43.9,54,1359717,4,5.5
2000,Black or African American,2054-5,Other specified chronic obstructive pulmonary disease,J44.8,11,1359717,0.8 (Unreliable),1.1 (Unreliable)
2000,Black or African American,2054-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,267,1359717,19.6,28.3
2000,Black or African American,2054-5,"Asthma, unspecified",J45.9,31,1359717,2.3,2.7
2000,Black or African American,2054-5,Pneumonitis due to food and vomit,J69.0,54,1359717,4,5.7
2000,Black or African American,2054-5,Other interstitial pulmonary diseases with fibrosis,J84.1,39,1359717,2.9,3.7
2000,Black or African American,2054-5,"Interstitial pulmonary disease, unspecified",J84.9,12,1359717,0.9 (Unreliable),1.2 (Unreliable)
2000,Black or African American,2054-5,"Respiratory failure, unspecified",J96.9,13,1359717,1.0 (Unreliable),1.4 (Unreliable)
2000,Black or African American,2054-5,Other disorders of lung,J98.4,12,1359717,0.9 (Unreliable),1.0 (Unreliable)
2000,Black or African American,2054-5,Acute vascular disorders of intestine,K55.0,18,1359717,1.3 (Unreliable),1.6 (Unreliable)
2000,Black or African American,2054-5,"Vascular disorder of intestine, unspecified",K55.9,41,1359717,3,4.2
2000,Black or African American,2054-5,Other and unspecified intestinal obstruction,K56.6,31,1359717,2.3,3.4
2000,Black or African American,2054-5,Alcoholic cirrhosis of liver,K70.3,40,1359717,2.9,3.5
2000,Black or African American,2054-5,"Hepatic failure, unspecified",K72.9,23,1359717,1.7,2.1
2000,Black or African American,2054-5,Other and unspecified cirrhosis of liver,K74.6,56,1359717,4.1,5.2
2000,Black or African American,2054-5,Acute pancreatitis,K85,12,1359717,0.9 (Unreliable),1.1 (Unreliable)
2000,Black or African American,2054-5,"Gastrointestinal haemorrhage, unspecified",K92.2,33,1359717,2.4,3.2
2000,Black or African American,2054-5,Decubitus ulcer,L89,16,1359717,1.2 (Unreliable),1.8 (Unreliable)
2000,Black or African American,2054-5,"Rheumatoid arthritis, unspecified",M06.9,10,1359717,0.7 (Unreliable),1.1 (Unreliable)
2000,Black or African American,2054-5,"Osteomyelitis, unspecified",M86.9,16,1359717,1.2 (Unreliable),1.8 (Unreliable)
2000,Black or African American,2054-5,"Acute renal failure, unspecified",N17.9,30,1359717,2.2,3.3
2000,Black or African American,2054-5,End-stage renal disease,N18.0,76,1359717,5.6,7.6
2000,Black or African American,2054-5,"Chronic renal failure, unspecified",N18.9,69,1359717,5.1,7.2
2000,Black or African American,2054-5,Unspecified renal failure,N19,110,1359717,8.1,11.6
2000,Black or African American,2054-5,"Urinary tract infection, site not specified",N39.0,44,1359717,3.2,4.9
2000,Black or African American,2054-5,Newborn affected by premature rupture of membranes,P01.1,18,1359717,1.3 (Unreliable),1.0 (Unreliable)
2000,Black or African American,2054-5,Newborn affected by other forms of placental separation and haemorrhage,P02.1,12,1359717,0.9 (Unreliable),0.7 (Unreliable)
2000,Black or African American,2054-5,Extreme immaturity,P07.2,55,1359717,4,3.1
2000,Black or African American,2054-5,Other preterm infants,P07.3,27,1359717,2,1.5
2000,Black or African American,2054-5,Respiratory distress syndrome of newborn,P22.0,11,1359717,0.8 (Unreliable),0.6 (Unreliable)
2000,Black or African American,2054-5,"Bacterial sepsis of newborn, unspecified",P36.9,10,1359717,0.7 (Unreliable),0.6 (Unreliable)
2000,Black or African American,2054-5,"Congenital malformation of heart, unspecified",Q24.9,10,1359717,0.7 (Unreliable),0.6 (Unreliable)
2000,Black or African American,2054-5,Other and unspecified convulsions,R56.8,16,1359717,1.2 (Unreliable),1.3 (Unreliable)
2000,Black or African American,2054-5,Sudden infant death syndrome - SIDS,R95,35,1359717,2.6,2
2000,Black or African American,2054-5,Other ill-defined and unspecified causes of mortality,R99,165,1359717,12.1,13.2
2000,Black or African American,2054-5,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,12,1359717,0.9 (Unreliable),1.0 (Unreliable)
2000,Black or African American,2054-5,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,15,1359717,1.1 (Unreliable),1.1 (Unreliable)
2000,Black or African American,2054-5,Person injured in collision between other specified motor vehicles (traffic),V87.7,16,1359717,1.2 (Unreliable),1.2 (Unreliable)
2000,Black or African American,2054-5,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,43,1359717,3.2,3.5
2000,Black or African American,2054-5,Unspecified fall,W19,17,1359717,1.3 (Unreliable),1.8 (Unreliable)
2000,Black or African American,2054-5,Unspecified drowning and submersion,W74,11,1359717,0.8 (Unreliable),0.7 (Unreliable)
2000,Black or African American,2054-5,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,20,1359717,1.5,2
2000,Black or African American,2054-5,Exposure to uncontrolled fire in building or structure,X00,18,1359717,1.3 (Unreliable),1.5 (Unreliable)
2000,Black or African American,2054-5,Accidental poisoning/exposure to narcotics,X42,43,1359717,3.2,3.6
2000,Black or African American,2054-5,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,27,1359717,2,2.3
2000,Black or African American,2054-5,Exposure to unspecified factor,X59,15,1359717,1.1 (Unreliable),1.5 (Unreliable)
2000,Black or African American,2054-5,"Intentional self-harm by hanging, strangulation and suffocation",X70,12,1359717,0.9 (Unreliable),0.9 (Unreliable)
2000,Black or African American,2054-5,Intentional self-harm by other and unspecified firearm discharge,X74,39,1359717,2.9,3.1
2000,Black or African American,2054-5,Assault by other and unspecified firearm discharge,X95,131,1359717,9.6,9.6
2000,Black or African American,2054-5,Assault by sharp object,X99,18,1359717,1.3 (Unreliable),1.4 (Unreliable)
2000,Black or African American,2054-5,Assault by other specified means,Y08,11,1359717,0.8 (Unreliable),0.9 (Unreliable)
2000,Black or African American,2054-5,Assault by unspecified means,Y09,12,1359717,0.9 (Unreliable),0.8 (Unreliable)
2000,White,2106-3,Enterocolitis due to Clostridium difficile,A04.7,111,9812402,1.1,1
2000,White,2106-3,Septicaemia due to Streptococcus pneumoniae,A40.3,10,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Septicaemia due to Staphylococcus aureus,A41.0,30,9812402,0.3,0.3
2000,White,2106-3,Septicaemia due to unspecified staphylococcus,A41.2,16,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,Septicaemia due to other Gram-negative organisms,A41.5,26,9812402,0.3,0.2
2000,White,2106-3,"Septicaemia, unspecified",A41.9,1163,9812402,11.9,10.9
2000,White,2106-3,"Bacterial infection, unspecified",A49.9,13,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Unspecified viral encephalitis,A86,11,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Acute hepatitis B without delta-agent and without hepatic coma,B16.9,10,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Acute hepatitis C,B17.1,67,9812402,0.7,0.6
2000,White,2106-3,HIV disease resulting in other viral infections,B20.3,11,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,HIV disease resulting in multiple infections,B20.7,16,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,HIV disease resulting in multiple diseases classified elsewhere,B22.7,15,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,HIV disease resulting in other specified conditions,B23.8,21,9812402,0.2,0.2
2000,White,2106-3,Unspecified human immunodeficiency virus [HIV] disease,B24,25,9812402,0.3,0.3
2000,White,2106-3,"Viral infection, unspecified",B34.9,15,9812402,0.2 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Sequelae of poliomyelitis,B91,13,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Sequelae of other specified infectious and parasitic diseases,B94.8,21,9812402,0.2,0.2
2000,White,2106-3,"Tongue, unspecified - Malignant neoplasms",C02.9,50,9812402,0.5,0.5
2000,White,2106-3,"Mouth, unspecified - Malignant neoplasms",C06.9,38,9812402,0.4,0.4
2000,White,2106-3,Malignant neoplasm of parotid gland,C07,19,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,"Tonsil, unspecified - Malignant neoplasms",C09.9,21,9812402,0.2,0.2
2000,White,2106-3,"Oropharynx, unspecified - Malignant neoplasms",C10.9,19,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,"Nasopharynx, unspecified - Malignant neoplasms",C11.9,19,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,"Pharynx, unspecified - Malignant neoplasms",C14.0,50,9812402,0.5,0.5
2000,White,2106-3,"Oesophagus, unspecified - Malignant neoplasms",C15.9,541,9812402,5.5,5.1
2000,White,2106-3,Cardia - Malignant neoplasms,C16.0,43,9812402,0.4,0.4
2000,White,2106-3,"Stomach, unspecified - Malignant neoplasms",C16.9,345,9812402,3.5,3.2
2000,White,2106-3,Duodenum - Malignant neoplasms,C17.0,20,9812402,0.2,0.2
2000,White,2106-3,"Small intestine, unspecified - Malignant neoplasms",C17.9,14,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Caecum - Malignant neoplasms,C18.0,17,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,Appendix - Malignant neoplasms,C18.1,13,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Sigmoid colon - Malignant neoplasms,C18.7,15,9812402,0.2 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,"Colon, unspecified - Malignant neoplasms",C18.9,1887,9812402,19.2,17.6
2000,White,2106-3,Malignant neoplasm of rectosigmoid junction,C19,73,9812402,0.7,0.7
2000,White,2106-3,Malignant neoplasm of rectum,C20,286,9812402,2.9,2.7
2000,White,2106-3,"Anus, unspecified - Malignant neoplasms",C21.0,10,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Liver cell carcinoma - Malignant neoplasms,C22.0,133,9812402,1.4,1.3
2000,White,2106-3,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,112,9812402,1.1,1
2000,White,2106-3,"Liver, unspecified - Malignant neoplasms",C22.9,164,9812402,1.7,1.5
2000,White,2106-3,Malignant neoplasm of gallbladder,C23,91,9812402,0.9,0.8
2000,White,2106-3,Extrahepatic bile duct - Malignant neoplasms,C24.0,30,9812402,0.3,0.3
2000,White,2106-3,"Biliary tract, unspecified - Malignant neoplasms",C24.9,28,9812402,0.3,0.3
2000,White,2106-3,"Pancreas, unspecified - Malignant neoplasms",C25.9,1047,9812402,10.7,9.8
2000,White,2106-3,"Intestinal tract, part unspecified - Malignant neoplasms",C26.0,19,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,37,9812402,0.4,0.3
2000,White,2106-3,"Larynx, unspecified - Malignant neoplasms",C32.9,131,9812402,1.3,1.2
2000,White,2106-3,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,25,9812402,0.3,0.2
2000,White,2106-3,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,6367,9812402,64.9,59.4
2000,White,2106-3,"Mediastinum, part unspecified - Malignant neoplasms",C38.3,10,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,31,9812402,0.3,0.3
2000,White,2106-3,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,289,9812402,2.9,2.7
2000,White,2106-3,Skin of scalp and neck - Malignant neoplasms,C44.4,40,9812402,0.4,0.4
2000,White,2106-3,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,30,9812402,0.3,0.3
2000,White,2106-3,Mesothelioma of other sites - Malignant neoplasms,C45.7,12,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,76,9812402,0.8,0.7
2000,White,2106-3,Retroperitoneum - Malignant neoplasms,C48.0,14,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,"Peritoneum, unspecified - Malignant neoplasms",C48.2,21,9812402,0.2,0.2
2000,White,2106-3,Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,10,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,104,9812402,1.1,1
2000,White,2106-3,"Breast, unspecified - Malignant neoplasms",C50.9,1730,9812402,17.6,16.3
2000,White,2106-3,"Vulva, unspecified - Malignant neoplasms",C51.9,35,9812402,0.4,0.3
2000,White,2106-3,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,147,9812402,1.5,1.4
2000,White,2106-3,Endometrium - Malignant neoplasms,C54.1,143,9812402,1.5,1.3
2000,White,2106-3,"Malignant neoplasm of uterus, part unspecified",C55,143,9812402,1.5,1.3
2000,White,2106-3,Malignant neoplasm of ovary,C56,523,9812402,5.3,4.9
2000,White,2106-3,"Penis, unspecified - Malignant neoplasms",C60.9,10,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Malignant neoplasm of prostate,C61,1102,9812402,11.2,10.2
2000,White,2106-3,"Testis, unspecified - Malignant neoplasms",C62.9,15,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,"Malignant neoplasm of kidney, except renal pelvis",C64,477,9812402,4.9,4.5
2000,White,2106-3,Malignant neoplasm of ureter,C66,12,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,"Bladder, unspecified - Malignant neoplasms",C67.9,521,9812402,5.3,4.8
2000,White,2106-3,"Urinary organ, unspecified - Malignant neoplasms",C68.9,11,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,"Brain, unspecified - Malignant neoplasms",C71.9,452,9812402,4.6,4.3
2000,White,2106-3,Malignant neoplasm of thyroid gland,C73,51,9812402,0.5,0.5
2000,White,2106-3,"Adrenal gland, unspecified - Malignant neoplasms",C74.9,14,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,"Head, face and neck - Malignant neoplasms",C76.0,70,9812402,0.7,0.7
2000,White,2106-3,Abdomen - Malignant neoplasms,C76.2,48,9812402,0.5,0.4
2000,White,2106-3,Pelvis - Malignant neoplasms,C76.3,16,9812402,0.2 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Secondary malignant neoplasm of lung - Malignant neoplasms,C78.0,12,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,23,9812402,0.2,0.2
2000,White,2106-3,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,115,9812402,1.2,1.1
2000,White,2106-3,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,24,9812402,0.2,0.2
2000,White,2106-3,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,22,9812402,0.2,0.2
2000,White,2106-3,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,45,9812402,0.5,0.4
2000,White,2106-3,Malignant neoplasm without specification of site,C80,1156,9812402,11.8,10.8
2000,White,2106-3,"Hodgkin's disease, unspecified - Malignant neoplasms",C81.9,47,9812402,0.5,0.5
2000,White,2106-3,Small cell (diffuse) - Malignant neoplasms,C83.0,12,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Small cleaved cell (diffuse) - Malignant neoplasms,C83.1,17,9812402,0.2 (Unreliable),0.2 (Unreliable)
2000,White,2106-3,Large cell (diffuse) - Malignant neoplasms,C83.3,56,9812402,0.6,0.5
2000,White,2106-3,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,20,9812402,0.2,0.2
2000,White,2106-3,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,30,9812402,0.3,0.3
2000,White,2106-3,"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,875,9812402,8.9,8.2
2000,White,2106-3,Waldenstrom's macroglobulinaemia - Malignant neoplasms,C88.0,14,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Multiple myeloma - Malignant neoplasms,C90.0,388,9812402,4,3.6
2000,White,2106-3,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,42,9812402,0.4,0.4
2000,White,2106-3,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,199,9812402,2,1.8
2000,White,2106-3,"Lymphoid leukaemia, unspecified - Malignant neoplasms",C91.9,11,9812402,0.1 (Unreliable),0.1 (Unreliable)
2000,White,2106-3,Acute myeloid leukaemia - Malignant neoplasms,C92.0,283,9812402,2.9,2.7
