2013 Urbanization,2013 Urbanization Code,County,County Code,Deaths,Population,Crude Rate,% of Total Deaths
Micropolitan (non-metro),5,"Fayette County, OH",39047,336,28695,1170.9,0.30%
Micropolitan (non-metro),5,"Gallia County, OH",39053,343,30993,1106.7,0.30%
Micropolitan (non-metro),5,"Guernsey County, OH",39059,446,40752,1094.4,0.40%
Micropolitan (non-metro),5,"Hancock County, OH",39063,628,73585,853.4,0.60%
Micropolitan (non-metro),5,"Huron County, OH",39077,574,60116,954.8,0.50%
Micropolitan (non-metro),5,"Jackson County, OH",39079,402,33242,1209.3,0.40%
Micropolitan (non-metro),5,"Knox County, OH",39083,578,58641,985.7,0.50%
Micropolitan (non-metro),5,"Logan County, OH",39091,465,46066,1009.4,0.40%
Micropolitan (non-metro),5,"Marion County, OH",39101,652,66468,980.9,0.60%
Micropolitan (non-metro),5,"Mercer County, OH",39107,406,40967,991,0.40%
Micropolitan (non-metro),5,"Muskingum County, OH",39119,885,85696,1032.7,0.80%
Micropolitan (non-metro),5,"Ottawa County, OH",39123,451,41629,1083.4,0.40%
Micropolitan (non-metro),5,"Ross County, OH",39141,772,75935,1016.7,0.70%
Micropolitan (non-metro),5,"Sandusky County, OH",39143,633,61865,1023.2,0.60%
Micropolitan (non-metro),5,"Scioto County, OH",39145,891,77926,1143.4,0.80%
Micropolitan (non-metro),5,"Seneca County, OH",39147,579,57664,1004.1,0.50%
Micropolitan (non-metro),5,"Shelby County, OH",39149,394,49044,803.4,0.40%
Micropolitan (non-metro),5,"Tuscarawas County, OH",39157,947,92286,1026.2,0.90%
Micropolitan (non-metro),5,"Van Wert County, OH",39161,321,29264,1096.9,0.30%
Micropolitan (non-metro),5,"Washington County, OH",39167,689,62547,1101.6,0.60%
Micropolitan (non-metro),5,"Wayne County, OH",39169,1038,113603,913.7,1.00%
NonCore (non-metro),6,"Adams County, OH",39001,295,28522,1034.3,0.30%
NonCore (non-metro),6,"Hardin County, OH",39065,300,31983,938,0.30%
NonCore (non-metro),6,"Harrison County, OH",39067,192,15907,1207,0.20%
NonCore (non-metro),6,"Henry County, OH",39069,268,29031,923.2,0.20%
NonCore (non-metro),6,"Highland County, OH",39071,451,42967,1049.6,0.40%
NonCore (non-metro),6,"Holmes County, OH",39075,257,41630,617.3,0.20%
NonCore (non-metro),6,"Meigs County, OH",39105,284,23588,1204,0.30%
NonCore (non-metro),6,"Monroe County, OH",39111,217,14943,1452.2,0.20%
NonCore (non-metro),6,"Morgan County, OH",39115,151,15216,992.4,0.10%
NonCore (non-metro),6,"Noble County, OH",39121,124,14210,872.6,0.10%
NonCore (non-metro),6,"Paulding County, OH",39125,167,19810,843,0.20%
NonCore (non-metro),6,"Pike County, OH",39131,321,28299,1134.3,0.30%
NonCore (non-metro),6,"Preble County, OH",39135,412,42584,967.5,0.40%
NonCore (non-metro),6,"Putnam County, OH",39137,278,34798,798.9,0.30%
NonCore (non-metro),6,"Vinton County, OH",39163,125,13370,934.9,0.10%
NonCore (non-metro),6,"Williams County, OH",39171,371,38546,962.5,0.30%
NonCore (non-metro),6,"Wyandot County, OH",39175,230,22820,1007.9,0.20%
