,ICD Chapter,ICD Sub-Chapter,,Cause of death,,id,value
All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,,Primary atelectasis of newborn,,,38
All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,,Neonatal cardiac failure,,,40
All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,,Neonatal cardiac dysrhythmia,,,65
All Causes,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,,Respiratory distress syndrome of newborn,,,68
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in other malignant neoplasms,,,10
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in other mycoses,,,14
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in other types of non-Hodgkin's lymphoma,,,21
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in Pneumocystis carinii pneumonia,,,24
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in encephalopathy,,,24
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in wasting syndrome,,,29
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in other viral infections,,,33
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in other bacterial infections,,,41
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in other infectious and parasitic diseases,,,55
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in multiple diseases classified elsewhere,,,65
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in multiple infections,,,69
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,Unspecified human immunodeficiency virus [HIV] disease,,,113
All Causes,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,,HIV disease resulting in other specified conditions,,,148
All Causes,Certain infectious and parasitic diseases,Intestinal infectious diseases,,"Viral intestinal infection, unspecified",,,10
All Causes,Certain infectious and parasitic diseases,Intestinal infectious diseases,,Other and unspecified gastroenteritis and colitis of infectious origin,,,24
All Causes,Certain infectious and parasitic diseases,Intestinal infectious diseases,,Gastroenteritis and colitis of unspecified origin,,,74
All Causes,Certain infectious and parasitic diseases,Intestinal infectious diseases,,Enterocolitis due to Clostridium difficile,,,564
All Causes,Certain infectious and parasitic diseases,Mycoses,,Candidal septicaemia,,,12
All Causes,Certain infectious and parasitic diseases,Mycoses,,Unspecified mycosis,,,32
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,"Streptococcal infection, unspecified",,,11
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,Septicaemia due to Streptococcus pneumoniae,,,13
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,"Streptococcal septicaemia, unspecified",,,14
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,Other bacterial infections of unspecified site,,,15
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,Septicaemia due to unspecified staphylococcus,,,30
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,Legionnaires' disease,,,31
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,Septicaemia due to Staphylococcus aureus,,,49
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,"Staphylococcal infection, unspecified",,,51
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,Septicaemia due to other Gram-negative organisms,,,77
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,"Bacterial infection, unspecified",,,112
All Causes,Certain infectious and parasitic diseases,Other bacterial diseases,,"Septicaemia, unspecified",,,2556
All Causes,Certain infectious and parasitic diseases,Other infectious diseases,,Other and unspecified infectious diseases,,,24
All Causes,Certain infectious and parasitic diseases,Other viral diseases,,"Viral infection, unspecified",,,16
All Causes,Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,,Sequelae of poliomyelitis,,,31
All Causes,Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,,Sequelae of viral hepatitis,,,33
All Causes,Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,,Sequelae of other specified infectious and parasitic diseases,,,44
All Causes,Certain infectious and parasitic diseases,Tuberculosis,,Tuberculosis of bones and joints,,,10
All Causes,Certain infectious and parasitic diseases,Tuberculosis,,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",,,13
All Causes,Certain infectious and parasitic diseases,Tuberculosis,,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",,,24
All Causes,Certain infectious and parasitic diseases,Viral hepatitis,,Unspecified viral hepatitis without hepatic coma,,,11
All Causes,Certain infectious and parasitic diseases,Viral hepatitis,,Chronic viral hepatitis B without delta-agent,,,12
All Causes,Certain infectious and parasitic diseases,Viral hepatitis,,Acute hepatitis B without delta-agent and without hepatic coma,,,32
All Causes,Certain infectious and parasitic diseases,Viral hepatitis,,Acute hepatitis C,,,63
All Causes,Certain infectious and parasitic diseases,Viral hepatitis,,Chronic viral hepatitis C,,,236
All Causes,Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,,Herpesviral encephalitis,,,10
All Causes,Certain infectious and parasitic diseases,Viral infections of the central nervous system,,Unspecified viral encephalitis,,,14
All Causes,Certain infectious and parasitic diseases,Viral infections of the central nervous system,,Creutzfeldt-Jakob disease - CJD,,,32
All Causes,"Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified",,"Patau's syndrome, unspecified",,,31
All Causes,"Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified",,"Down's syndrome, unspecified",,,61
All Causes,"Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified",,"Edwards' syndrome, unspecified",,,65
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations and deformations of the musculoskeletal system,,"Congenital, small grouped",,,104
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system,,"Congenital malformation of heart, unspecified",,,121
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,,Holoprosencephaly,,,10
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,,Other reduction deformities of brain,,,10
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,,"Congenital hydrocephalus, unspecified",,,11
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,,"Spina bifida, unspecified",,,13
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the nervous system,,Anencephaly,,,37
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the respiratory system,,Hypoplasia and dysplasia of lung,,,34
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the urinary system,,Potter's syndrome,,,12
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the urinary system,,"Polycystic kidney, unspecified",,,23
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations,,Marfan's syndrome,,,15
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations,,"Multiple congenital malformations, not elsewhere classified",,,26
All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations,,"Congenital malformation, unspecified",,,32
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,,Acute posthaemorrhagic anaemia,,,29
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,,"Aplastic anaemia, unspecified",,,83
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,,"Anaemia, unspecified",,,219
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,,"Immune, small grouped",,,38
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,,"Sarcoidosis, unspecified",,,69
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions",,Hereditary deficiency of other clotting factors,,,11
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions",,Idiopathic thrombocytopenic purpura,,,24
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions",,"Thrombocytopenia, unspecified",,,32
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions",,Disseminated intravascular coagulation [defibrination syndrome],,,38
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions",,"Coagulation defect, unspecified",,,109
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,,Sickle-cell anaemia with crisis,,,10
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,,Sickle-cell anaemia without crisis,,,34
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias,,Iron deficiency anaemia secondary to blood loss (chronic),,,18
All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,,Agranulocytosis,,,29
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Intracerebral haemorrhage in brain stem,,,38
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Intracerebral haemorrhage in cerebellum,,,43
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Cerebral infarction due to thrombosis of cerebral arteries,,,54
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Sequelae of cerebral infarction,,,54
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,,,58
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Cerebral infarction due to embolism of cerebral arteries,,,64
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Cerebral atherosclerosis,,,68
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,"Intracerebral haemorrhage, intraventricular",,,69
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Other specified cerebrovascular diseases,,,74
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,"Cerebrovascular, small grouped",,,155
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Subdural haemorrhage (acute)(nontraumatic),,,240
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,"Cerebrovascular disease, unspecified",,,258
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,"Cerebral infarction, unspecified",,,331
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,"Subarachnoid haemorrhage, unspecified",,,477
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,Sequelae of other and unspecified cerebrovascular diseases,,,663
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,"Intracranial haemorrhage (nontraumatic), unspecified",,,791
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,"Intracerebral haemorrhage, unspecified",,,1073
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,"Sequelae of stroke, not specified as haemorrhage or infarction",,,1097
All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,"Stroke, not specified as haemorrhage or infarction",,,5534
All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,,"Rheumatic diseases of endocardium, valve unspecified",,,12
All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,,"Rheumatic heart disease, unspecified",,,16
All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,,Tricuspid insufficiency,,,17
All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,,Mitral stenosis,,,39
All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,,Disorders of both mitral and aortic valves,,,59
All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,,"Mitral valve disease, unspecified",,,86
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Thoracoabdominal aortic aneurysm, without mention of rupture",,,10
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,Aneurysm of iliac artery,,,10
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,Stricture of artery,,,10
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,Atherosclerosis of arteries of extremities,,,19
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Disorder of arteries and arterioles, unspecified",,,19
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,Embolism and thrombosis of other and unspecified parts of aorta,,,22
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Arteritis, unspecified",,,22
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,Aneurysm of unspecified site,,,25
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,Embolism and thrombosis of unspecified artery,,,46
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Aortic aneurysm of unspecified site, without mention of rupture",,,51
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Thoracic aortic aneurysm, without mention of rupture",,,61
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Thoracic aortic aneurysm, ruptured",,,76
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Aortic aneurysm of unspecified site, ruptured",,,92
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Abdominal aortic aneurysm, without mention of rupture",,,123
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,Dissection of aorta [any part],,,291
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Abdominal aortic aneurysm, ruptured",,,314
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,Generalized and unspecified atherosclerosis,,,563
All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Peripheral vascular disease, unspecified",,,629
All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",,Oesophageal varices with bleeding,,,11
All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",,"Lymphoedema, not elsewhere classified",,,11
All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",,Phlebitis and thrombophlebitis of unspecified site,,,12
All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",,"Phlebitis and thrombophlebitis of lower extremities, unspecified",,,21
All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,,,251
All Causes,Diseases of the circulatory system,Hypertensive diseases,,Hypertensive heart and renal disease with (congestive) heart failure,,,10
All Causes,Diseases of the circulatory system,Hypertensive diseases,,Hypertensive renal disease without renal failure,,,13
All Causes,Diseases of the circulatory system,Hypertensive diseases,,"Hypertensive heart and renal disease, unspecified",,,18
All Causes,Diseases of the circulatory system,Hypertensive diseases,,Hypertensive heart and renal disease with renal failure,,,110
All Causes,Diseases of the circulatory system,Hypertensive diseases,,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,,,144
All Causes,Diseases of the circulatory system,Hypertensive diseases,,Hypertensive heart disease with (congestive) heart failure,,,662
All Causes,Diseases of the circulatory system,Hypertensive diseases,,Hypertensive renal disease with renal failure,,,806
All Causes,Diseases of the circulatory system,Hypertensive diseases,,Essential (primary) hypertension,,,1298
All Causes,Diseases of the circulatory system,Hypertensive diseases,,Hypertensive heart disease without (congestive) heart failure,,,1775
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,"Angina pectoris, unspecified",,,15
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,Other forms of acute ischaemic heart disease,,,27
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,Acute subendocardial myocardial infarction,,,31
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,"Acute ischaemic heart disease, unspecified",,,115
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,Other forms of chronic ischaemic heart disease,,,168
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,"Chronic ischaemic heart disease, unspecified",,,481
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,Ischaemic cardiomyopathy,,,1266
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,"Atherosclerotic cardiovascular disease, so described",,,3248
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,"Acute myocardial infarction, unspecified",,,9637
All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,Atherosclerotic heart disease,,,12573
All Causes,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,,Other and unspecified disorders of circulatory system,,,17
All Causes,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,,"Hypotension, unspecified",,,20
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Other nonrheumatic mitral valve disorders,,,11
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Aortic (valve) stenosis with insufficiency,,,11
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Obstructive hypertrophic cardiomyopathy,,,14
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Other restrictive cardiomyopathy,,,14
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Other aortic valve disorders,,,15
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Supraventricular tachycardia,,,18
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Left ventricular failure,,,18
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Mitral (valve) prolapse,,,20
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Conduction disorder, unspecified",,,20
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Infective myocarditis,,,21
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Disease of pericardium, unspecified",,,22
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Atrioventricular block, complete",,,25
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Myocardial degeneration,,,25
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Pericardial effusion (noninflammatory),,,26
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Myocarditis, unspecified",,,36
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Sick sinus syndrome,,,47
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Aortic (valve) insufficiency,,,53
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Alcoholic cardiomyopathy,,,53
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Other hypertrophic cardiomyopathy,,,62
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Ventricular tachycardia,,,68
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Other specified conduction disorders,,,71
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Acute and subacute infective endocarditis,,,111
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Cardiomegaly,,,116
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Ventricular fibrillation and flutter,,,128
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Aortic valve disorder, unspecified",,,134
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Cardiovascular disease, unspecified",,,148
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Other ill-defined heart diseases,,,148
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Mitral (valve) insufficiency,,,192
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Sudden cardiac death, so described",,,257
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Dilated cardiomyopathy,,,314
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Endocarditis, valve unspecified",,,408
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Heart disease, unspecified",,,496
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Heart failure, unspecified",,,529
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Cardiac arrhythmia, unspecified",,,764
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Aortic (valve) stenosis,,,874
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Cardiac arrest, unspecified",,,1179
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Atrial fibrillation and flutter,,,1410
All Causes,Diseases of the circulatory system,Other forms of heart disease,,"Cardiomyopathy, unspecified",,,2039
All Causes,Diseases of the circulatory system,Other forms of heart disease,,Congestive heart failure,,,3618
All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,,Other specified pulmonary heart diseases,,,11
All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,,"Pulmonary heart disease, unspecified",,,85
All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,,Primary pulmonary hypertension,,,115
All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,,Other secondary pulmonary hypertension,,,400
All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,,Pulmonary embolism without mention of acute cor pulmonale,,,654
All Causes,Diseases of the digestive system,Diseases of appendix,,Acute appendicitis with generalized peritonitis,,,17
All Causes,Diseases of the digestive system,Diseases of liver,,Portal hypertension,,,10
All Causes,Diseases of the digestive system,Diseases of liver,,Other specified diseases of liver,,,10
All Causes,Diseases of the digestive system,Diseases of liver,,Abscess of liver,,,13
All Causes,Diseases of the digestive system,Diseases of liver,,Primary biliary cirrhosis,,,23
All Causes,Diseases of the digestive system,Diseases of liver,,Acute and subacute hepatic failure,,,24
All Causes,Diseases of the digestive system,Diseases of liver,,"Inflammatory liver disease, unspecified",,,25
All Causes,Diseases of the digestive system,Diseases of liver,,Alcoholic fatty liver,,,29
All Causes,Diseases of the digestive system,Diseases of liver,,Autoimmune hepatitis,,,29
All Causes,Diseases of the digestive system,Diseases of liver,,Hepatorenal syndrome,,,30
All Causes,Diseases of the digestive system,Diseases of liver,,Alcoholic hepatitis,,,84
All Causes,Diseases of the digestive system,Diseases of liver,,Alcoholic hepatic failure,,,85
All Causes,Diseases of the digestive system,Diseases of liver,,"Alcoholic liver disease, unspecified",,,95
All Causes,Diseases of the digestive system,Diseases of liver,,"Fatty (change of) liver, not elsewhere classified",,,106
All Causes,Diseases of the digestive system,Diseases of liver,,"Liver disease, unspecified",,,192
All Causes,Diseases of the digestive system,Diseases of liver,,"Hepatic failure, unspecified",,,249
All Causes,Diseases of the digestive system,Diseases of liver,,Alcoholic cirrhosis of liver,,,715
All Causes,Diseases of the digestive system,Diseases of liver,,Other and unspecified cirrhosis of liver,,,1331
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,Adult hypertrophic pyloric stenosis,,,10
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Disease of oesophagus, unspecified",,,11
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,Other specified diseases of oesophagus,,,12
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without haemorrhage or perforation",,,12
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,Oesophagitis,,,14
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation",,,14
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,Perforation of oesophagus,,,16
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Peptic ulcer, site unspecified, chronic or unspecified with perforation",,,18
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",,,22
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Gastric ulcer, chronic or unspecified with haemorrhage",,,28
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,Dyskinesia of oesophagus,,,31
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,Other specified diseases of stomach and duodenum,,,32
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,Oesophageal obstruction,,,35
All Causes,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",,"Gastric ulcer, chronic or unspecified with perforation",,,35
