,,ICD Chapter,ICD Sub-Chapter,Cause of death,
597,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the urinary system,Potter's syndrome,12
824,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the urinary system,,
174,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations,"Congenital malformation, unspecified",32
409,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations,Marfan's syndrome,15
439,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations,"Multiple congenital malformations, not elsewhere classified",26
823,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations,,
857,All Causes,"Congenital malformations, deformations and chromosomal abnormalities",,,
40,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,"Aplastic anaemia, unspecified",83
53,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,"Anaemia, unspecified",219
76,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,Acute posthaemorrhagic anaemia,29
822,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,,
331,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,"Immune, small grouped",38
623,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,"Sarcoidosis, unspecified",69
821,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,,
167,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions","Coagulation defect, unspecified",109
212,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions",Disseminated intravascular coagulation [defibrination syndrome],38
290,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions",Hereditary deficiency of other clotting factors,11
328,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions",Idiopathic thrombocytopenic purpura,24
689,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions","Thrombocytopenia, unspecified",32
820,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions",,
651,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,Sickle-cell anaemia with crisis,10
652,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,Sickle-cell anaemia without crisis,34
819,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,,
374,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Iron deficiency anaemia secondary to blood loss (chronic),,18
66,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,,29
856,All Causes,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,,,
138,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Cerebral atherosclerosis,68
139,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Cerebral infarction due to embolism of cerebral arteries,64
140,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Cerebral infarction due to thrombosis of cerebral arteries,54
141,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,58
142,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,"Cerebral infarction, unspecified",331
144,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,"Cerebrovascular disease, unspecified",258
145,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,"Cerebrovascular, small grouped",155
367,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Intracerebral haemorrhage in brain stem,38
368,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Intracerebral haemorrhage in cerebellum,43
369,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,"Intracerebral haemorrhage, intraventricular",69
370,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,"Intracerebral haemorrhage, unspecified",1073
371,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,"Intracranial haemorrhage (nontraumatic), unspecified",791
527,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Other specified cerebrovascular diseases,74
640,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Sequelae of cerebral infarction,54
643,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Sequelae of other and unspecified cerebrovascular diseases,663
646,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,"Sequelae of stroke, not specified as haemorrhage or infarction",1097
670,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",5534
672,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,"Subarachnoid haemorrhage, unspecified",477
673,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,Subdural haemorrhage (acute)(nontraumatic),240
818,All Causes,Diseases of the circulatory system,Cerebrovascular diseases,,
207,All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,Disorders of both mitral and aortic valves,59
429,All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,Mitral stenosis,39
430,All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,"Mitral valve disease, unspecified",86
619,All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,"Rheumatic diseases of endocardium, valve unspecified",12
620,All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,"Rheumatic heart disease, unspecified",16
696,All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,Tricuspid insufficiency,17
817,All Causes,Diseases of the circulatory system,Chronic rheumatic heart diseases,,
25,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Atherosclerosis of arteries of extremities,19
38,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Arteritis, unspecified",22
42,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Aortic aneurysm of unspecified site, without mention of rupture",51
43,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Aortic aneurysm of unspecified site, ruptured",92
50,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Aneurysm of unspecified site,25
51,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Aneurysm of iliac artery,10
108,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Abdominal aortic aneurysm, without mention of rupture",123
109,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Abdominal aortic aneurysm, ruptured",314
204,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Disorder of arteries and arterioles, unspecified",19
211,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Dissection of aorta [any part],291
233,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Embolism and thrombosis of other and unspecified parts of aorta,22
234,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Embolism and thrombosis of unspecified artery,46
276,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Generalized and unspecified atherosclerosis,563
567,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Peripheral vascular disease, unspecified",629
669,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Stricture of artery,10
686,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Thoracic aortic aneurysm, ruptured",76
687,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Thoracic aortic aneurysm, without mention of rupture",61
688,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Thoracoabdominal aortic aneurysm, without mention of rupture",10
816,All Causes,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,
388,All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified","Lymphoedema, not elsewhere classified",11
483,All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Oesophageal varices with bleeding,11
577,All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified","Phlebitis and thrombophlebitis of lower extremities, unspecified",21
578,All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Phlebitis and thrombophlebitis of other deep vessels of lower extremities,251
579,All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Phlebitis and thrombophlebitis of unspecified site,12
815,All Causes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",,
243,All Causes,Diseases of the circulatory system,Hypertensive diseases,Essential (primary) hypertension,1298
313,All Causes,Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart and renal disease with (congestive) heart failure,10
314,All Causes,Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,144
315,All Causes,Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart and renal disease with renal failure,110
316,All Causes,Diseases of the circulatory system,Hypertensive diseases,"Hypertensive heart and renal disease, unspecified",18
317,All Causes,Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,662
318,All Causes,Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,1775
319,All Causes,Diseases of the circulatory system,Hypertensive diseases,Hypertensive renal disease with renal failure,806
320,All Causes,Diseases of the circulatory system,Hypertensive diseases,Hypertensive renal disease without renal failure,13
814,All Causes,Diseases of the circulatory system,Hypertensive diseases,,
23,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,Atherosclerotic heart disease,12573
24,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,"Atherosclerotic cardiovascular disease, so described",3248
49,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,"Angina pectoris, unspecified",15
71,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,Acute subendocardial myocardial infarction,31
80,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,"Acute myocardial infarction, unspecified",9637
84,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,"Acute ischaemic heart disease, unspecified",115
150,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,"Chronic ischaemic heart disease, unspecified",481
375,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,Ischaemic cardiomyopathy,1266
510,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,Other forms of acute ischaemic heart disease,27
511,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,Other forms of chronic ischaemic heart disease,168
813,All Causes,Diseases of the circulatory system,Ischaemic heart diseases,,
325,All Causes,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,"Hypotension, unspecified",20
496,All Causes,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,Other and unspecified disorders of circulatory system,17
812,All Causes,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,,
21,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Atrioventricular block, complete",25
22,All Causes,Diseases of the circulatory system,Other forms of heart disease,Atrial fibrillation and flutter,1410
41,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Aortic valve disorder, unspecified",134
44,All Causes,Diseases of the circulatory system,Other forms of heart disease,Aortic (valve) stenosis with insufficiency,11
45,All Causes,Diseases of the circulatory system,Other forms of heart disease,Aortic (valve) stenosis,874
46,All Causes,Diseases of the circulatory system,Other forms of heart disease,Aortic (valve) insufficiency,53
65,All Causes,Diseases of the circulatory system,Other forms of heart disease,Alcoholic cardiomyopathy,53
91,All Causes,Diseases of the circulatory system,Other forms of heart disease,Acute and subacute infective endocarditis,111
129,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Cardiac arrest, unspecified",1179
130,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Cardiac arrhythmia, unspecified",764
132,All Causes,Diseases of the circulatory system,Other forms of heart disease,Cardiomegaly,116
133,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Cardiomyopathy, unspecified",2039
134,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Cardiovascular disease, unspecified",148
171,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Conduction disorder, unspecified",20
176,All Causes,Diseases of the circulatory system,Other forms of heart disease,Congestive heart failure,3618
194,All Causes,Diseases of the circulatory system,Other forms of heart disease,Dilated cardiomyopathy,314
202,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Disease of pericardium, unspecified",22
238,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Endocarditis, valve unspecified",408
286,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Heart disease, unspecified",496
287,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Heart failure, unspecified",529
333,All Causes,Diseases of the circulatory system,Other forms of heart disease,Infective myocarditis,21
378,All Causes,Diseases of the circulatory system,Other forms of heart disease,Left ventricular failure,18
427,All Causes,Diseases of the circulatory system,Other forms of heart disease,Mitral (valve) insufficiency,192
428,All Causes,Diseases of the circulatory system,Other forms of heart disease,Mitral (valve) prolapse,20
446,All Causes,Diseases of the circulatory system,Other forms of heart disease,Myocardial degeneration,25
447,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Myocarditis, unspecified",36
481,All Causes,Diseases of the circulatory system,Other forms of heart disease,Obstructive hypertrophic cardiomyopathy,14
502,All Causes,Diseases of the circulatory system,Other forms of heart disease,Other aortic valve disorders,15
513,All Causes,Diseases of the circulatory system,Other forms of heart disease,Other hypertrophic cardiomyopathy,62
515,All Causes,Diseases of the circulatory system,Other forms of heart disease,Other ill-defined heart diseases,148
521,All Causes,Diseases of the circulatory system,Other forms of heart disease,Other nonrheumatic mitral valve disorders,11
525,All Causes,Diseases of the circulatory system,Other forms of heart disease,Other restrictive cardiomyopathy,14
529,All Causes,Diseases of the circulatory system,Other forms of heart disease,Other specified conduction disorders,71
565,All Causes,Diseases of the circulatory system,Other forms of heart disease,Pericardial effusion (noninflammatory),26
650,All Causes,Diseases of the circulatory system,Other forms of heart disease,Sick sinus syndrome,47
674,All Causes,Diseases of the circulatory system,Other forms of heart disease,"Sudden cardiac death, so described",257
677,All Causes,Diseases of the circulatory system,Other forms of heart disease,Supraventricular tachycardia,18
740,All Causes,Diseases of the circulatory system,Other forms of heart disease,Ventricular fibrillation and flutter,128
741,All Causes,Diseases of the circulatory system,Other forms of heart disease,Ventricular tachycardia,68
811,All Causes,Diseases of the circulatory system,Other forms of heart disease,,
526,All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Other secondary pulmonary hypertension,400
543,All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Other specified pulmonary heart diseases,11
601,All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Primary pulmonary hypertension,115
605,All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Pulmonary embolism without mention of acute cor pulmonale,654
606,All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,"Pulmonary heart disease, unspecified",85
810,All Causes,Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,,
855,All Causes,Diseases of the circulatory system,,,
90,All Causes,Diseases of the digestive system,Acute appendicitis with generalized peritonitis,,17
20,All Causes,Diseases of the digestive system,Diseases of liver,Autoimmune hepatitis,29
60,All Causes,Diseases of the digestive system,Diseases of liver,"Alcoholic liver disease, unspecified",95
61,All Causes,Diseases of the digestive system,Diseases of liver,Alcoholic hepatitis,84
62,All Causes,Diseases of the digestive system,Diseases of liver,Alcoholic hepatic failure,85
63,All Causes,Diseases of the digestive system,Diseases of liver,Alcoholic fatty liver,29
64,All Causes,Diseases of the digestive system,Diseases of liver,Alcoholic cirrhosis of liver,715
92,All Causes,Diseases of the digestive system,Diseases of liver,Acute and subacute hepatic failure,24
105,All Causes,Diseases of the digestive system,Diseases of liver,Abscess of liver,13
265,All Causes,Diseases of the digestive system,Diseases of liver,"Fatty (change of) liver, not elsewhere classified",106
288,All Causes,Diseases of the digestive system,Diseases of liver,"Hepatic failure, unspecified",249
289,All Causes,Diseases of the digestive system,Diseases of liver,Hepatorenal syndrome,30
334,All Causes,Diseases of the digestive system,Diseases of liver,"Inflammatory liver disease, unspecified",25
382,All Causes,Diseases of the digestive system,Diseases of liver,"Liver disease, unspecified",192
494,All Causes,Diseases of the digestive system,Diseases of liver,Other and unspecified cirrhosis of liver,1331
531,All Causes,Diseases of the digestive system,Diseases of liver,Other specified diseases of liver,10
596,All Causes,Diseases of the digestive system,Diseases of liver,Portal hypertension,10
