Notes	Weekday	Weekday Code	Cause of death	Cause of death Code	Deaths	Population	Crude Rate
	Monday	2	Assault by unspecified means	Y09	10	Not Applicable	Not Applicable
	Monday	2	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	Y14	13	Not Applicable	Not Applicable
	Monday	2	"Surgical procedure, unspecified"	Y83.9	10	Not Applicable	Not Applicable
	Monday	2	Sequelae of other accidents	Y86	11	Not Applicable	Not Applicable
Total	Monday	2			2050	Not Applicable	Not Applicable
	Tuesday	3	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	V03.1	19	Not Applicable	Not Applicable
	Tuesday	3	Pedestrian injured in traffic accident involving other and unspecified motor vehicles	V09.2	23	Not Applicable	Not Applicable
	Tuesday	3	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	V43.5	19	Not Applicable	Not Applicable
	Tuesday	3	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	V47.5	16	Not Applicable	Not Applicable
	Tuesday	3	Car occupant [any] injured in unspecified traffic accident	V49.9	13	Not Applicable	Not Applicable
	Tuesday	3	Person injured in collision between other specified motor vehicles (traffic)	V87.7	61	Not Applicable	Not Applicable
	Tuesday	3	"Person injured in unspecified motor-vehicle accident, traffic"	V89.2	87	Not Applicable	Not Applicable
	Tuesday	3	Fall on and from stairs and steps	W10	23	Not Applicable	Not Applicable
	Tuesday	3	Other fall on same level	W18	17	Not Applicable	Not Applicable
	Tuesday	3	Unspecified fall	W19	182	Not Applicable	Not Applicable
	Tuesday	3	Unspecified drowning and submersion	W74	13	Not Applicable	Not Applicable
	Tuesday	3	Inhalation and ingestion of other objects causing obstruction of respiratory tract	W80	56	Not Applicable	Not Applicable
	Tuesday	3	Unspecified threat to breathing	W84	11	Not Applicable	Not Applicable
	Tuesday	3	Exposure to uncontrolled fire in building or structure	X00	20	Not Applicable	Not Applicable
	Tuesday	3	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X41	23	Not Applicable	Not Applicable
	Tuesday	3	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	X42	227	Not Applicable	Not Applicable
	Tuesday	3	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X44	150	Not Applicable	Not Applicable
	Tuesday	3	Accidental poisoning by and exposure to alcohol	X45	11	Not Applicable	Not Applicable
	Tuesday	3	Exposure to unspecified factor	X59	61	Not Applicable	Not Applicable
	Tuesday	3	Exposure to unspecified factor causing fracture	X59.0	21	Not Applicable	Not Applicable
	Tuesday	3	Exposure to unspecified factor causing other and unspecified injury	X59.9	19	Not Applicable	Not Applicable
	Tuesday	3	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X61	14	Not Applicable	Not Applicable
	Tuesday	3	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X64	37	Not Applicable	Not Applicable
	Tuesday	3	Intentional self-poisoning by and exposure to other gases and vapours	X67	18	Not Applicable	Not Applicable
	Tuesday	3	"Intentional self-harm by hanging, strangulation and suffocation"	X70	98	Not Applicable	Not Applicable
	Tuesday	3	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	X73	31	Not Applicable	Not Applicable
	Tuesday	3	Intentional self-harm by other and unspecified firearm discharge	X74	170	Not Applicable	Not Applicable
	Tuesday	3	Assault by other and unspecified firearm discharge	X95	163	Not Applicable	Not Applicable
	Tuesday	3	Assault by sharp object	X99	21	Not Applicable	Not Applicable
	Tuesday	3	Assault by other specified means	Y08	12	Not Applicable	Not Applicable
	Tuesday	3	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	Y14	14	Not Applicable	Not Applicable
	Tuesday	3	"Surgical procedure, unspecified"	Y83.9	10	Not Applicable	Not Applicable
Total	Tuesday	3			1996	Not Applicable	Not Applicable
	Wednesday	4	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	V03.1	14	Not Applicable	Not Applicable
	Wednesday	4	Pedestrian injured in traffic accident involving other and unspecified motor vehicles	V09.2	23	Not Applicable	Not Applicable
	Wednesday	4	Motorcycle rider [any] injured in unspecified traffic accident	V29.9	10	Not Applicable	Not Applicable
	Wednesday	4	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	V43.5	13	Not Applicable	Not Applicable
	Wednesday	4	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	V47.5	13	Not Applicable	Not Applicable
	Wednesday	4	Car occupant [any] injured in unspecified traffic accident	V49.9	12	Not Applicable	Not Applicable
	Wednesday	4	Person injured in collision between other specified motor vehicles (traffic)	V87.7	59	Not Applicable	Not Applicable
	Wednesday	4	"Person injured in unspecified motor-vehicle accident, traffic"	V89.2	77	Not Applicable	Not Applicable
	Wednesday	4	Fall on and from stairs and steps	W10	12	Not Applicable	Not Applicable
	Wednesday	4	Other fall on same level	W18	20	Not Applicable	Not Applicable
	Wednesday	4	Unspecified fall	W19	187	Not Applicable	Not Applicable
	Wednesday	4	Unspecified drowning and submersion	W74	17	Not Applicable	Not Applicable
	Wednesday	4	Inhalation and ingestion of other objects causing obstruction of respiratory tract	W80	57	Not Applicable	Not Applicable
	Wednesday	4	Exposure to uncontrolled fire in building or structure	X00	26	Not Applicable	Not Applicable
	Wednesday	4	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X41	18	Not Applicable	Not Applicable
	Wednesday	4	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	X42	205	Not Applicable	Not Applicable
	Wednesday	4	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X44	164	Not Applicable	Not Applicable
	Wednesday	4	Accidental poisoning by and exposure to alcohol	X45	10	Not Applicable	Not Applicable
	Wednesday	4	Accidental poisoning by and exposure to other gases and vapours	X47	13	Not Applicable	Not Applicable
	Wednesday	4	Exposure to unspecified factor	X59	73	Not Applicable	Not Applicable
	Wednesday	4	Exposure to unspecified factor causing fracture	X59.0	16	Not Applicable	Not Applicable
	Wednesday	4	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X61	17	Not Applicable	Not Applicable
	Wednesday	4	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X64	30	Not Applicable	Not Applicable
	Wednesday	4	Intentional self-poisoning by and exposure to other gases and vapours	X67	22	Not Applicable	Not Applicable
	Wednesday	4	"Intentional self-harm by hanging, strangulation and suffocation"	X70	105	Not Applicable	Not Applicable
	Wednesday	4	Intentional self-harm by handgun discharge	X72	10	Not Applicable	Not Applicable
	Wednesday	4	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	X73	22	Not Applicable	Not Applicable
	Wednesday	4	Intentional self-harm by other and unspecified firearm discharge	X74	198	Not Applicable	Not Applicable
	Wednesday	4	"Assault by hanging, strangulation and suffocation"	X91	15	Not Applicable	Not Applicable
	Wednesday	4	Assault by other and unspecified firearm discharge	X95	192	Not Applicable	Not Applicable
	Wednesday	4	Assault by sharp object	X99	16	Not Applicable	Not Applicable
	Wednesday	4	Assault by other specified means	Y08	16	Not Applicable	Not Applicable
	Wednesday	4	Assault by unspecified means	Y09	15	Not Applicable	Not Applicable
	Wednesday	4	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	Y14	18	Not Applicable	Not Applicable
	Wednesday	4	Sequelae of other accidents	Y86	10	Not Applicable	Not Applicable
Total	Wednesday	4			2053	Not Applicable	Not Applicable
	Thursday	5	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	V03.1	19	Not Applicable	Not Applicable
	Thursday	5	Pedestrian injured in traffic accident involving other and unspecified motor vehicles	V09.2	22	Not Applicable	Not Applicable
	Thursday	5	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	V27.4	10	Not Applicable	Not Applicable
	Thursday	5	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	V43.5	16	Not Applicable	Not Applicable
	Thursday	5	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	V47.5	19	Not Applicable	Not Applicable
	Thursday	5	Person injured in collision between other specified motor vehicles (traffic)	V87.7	74	Not Applicable	Not Applicable
	Thursday	5	"Person injured in unspecified motor-vehicle accident, traffic"	V89.2	93	Not Applicable	Not Applicable
	Thursday	5	Fall on and from stairs and steps	W10	12	Not Applicable	Not Applicable
	Thursday	5	Other fall on same level	W18	18	Not Applicable	Not Applicable
	Thursday	5	Unspecified fall	W19	199	Not Applicable	Not Applicable
	Thursday	5	Unspecified drowning and submersion	W74	14	Not Applicable	Not Applicable
	Thursday	5	Accidental suffocation and strangulation in bed	W75	10	Not Applicable	Not Applicable
	Thursday	5	Inhalation and ingestion of other objects causing obstruction of respiratory tract	W80	49	Not Applicable	Not Applicable
	Thursday	5	Exposure to uncontrolled fire in building or structure	X00	27	Not Applicable	Not Applicable
	Thursday	5	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X41	16	Not Applicable	Not Applicable
	Thursday	5	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	X42	245	Not Applicable	Not Applicable
	Thursday	5	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X44	186	Not Applicable	Not Applicable
	Thursday	5	Exposure to unspecified factor	X59	53	Not Applicable	Not Applicable
	Thursday	5	Exposure to unspecified factor causing fracture	X59.0	18	Not Applicable	Not Applicable
	Thursday	5	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X64	29	Not Applicable	Not Applicable
	Thursday	5	Intentional self-poisoning by and exposure to other gases and vapours	X67	20	Not Applicable	Not Applicable
	Thursday	5	"Intentional self-harm by hanging, strangulation and suffocation"	X70	101	Not Applicable	Not Applicable
	Thursday	5	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	X73	18	Not Applicable	Not Applicable
	Thursday	5	Intentional self-harm by other and unspecified firearm discharge	X74	180	Not Applicable	Not Applicable
	Thursday	5	Assault by other and unspecified firearm discharge	X95	191	Not Applicable	Not Applicable
	Thursday	5	Assault by sharp object	X99	27	Not Applicable	Not Applicable
	Thursday	5	Assault by unspecified means	Y09	20	Not Applicable	Not Applicable
	Thursday	5	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	Y14	10	Not Applicable	Not Applicable
	Thursday	5	Sequelae of other accidents	Y86	10	Not Applicable	Not Applicable
Total	Thursday	5			2072	Not Applicable	Not Applicable
	Friday	6	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	V03.1	20	Not Applicable	Not Applicable
	Friday	6	Pedestrian injured in traffic accident involving other and unspecified motor vehicles	V09.2	25	Not Applicable	Not Applicable
	Friday	6	Driver injured in collision with other and unspecified motor vehicles in traffic accident	V29.4	12	Not Applicable	Not Applicable
	Friday	6	Motorcycle rider [any] injured in unspecified traffic accident	V29.9	10	Not Applicable	Not Applicable
	Friday	6	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	V43.5	27	Not Applicable	Not Applicable
	Friday	6	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	V43.6	13	Not Applicable	Not Applicable
	Friday	6	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	V47.5	17	Not Applicable	Not Applicable
	Friday	6	Car occupant [any] injured in unspecified traffic accident	V49.9	17	Not Applicable	Not Applicable
	Friday	6	Person injured in collision between other specified motor vehicles (traffic)	V87.7	75	Not Applicable	Not Applicable
	Friday	6	"Person injured in unspecified motor-vehicle accident, traffic"	V89.2	101	Not Applicable	Not Applicable
	Friday	6	Fall on and from stairs and steps	W10	20	Not Applicable	Not Applicable
	Friday	6	Other fall on same level	W18	25	Not Applicable	Not Applicable
	Friday	6	Unspecified fall	W19	192	Not Applicable	Not Applicable
	Friday	6	Unspecified drowning and submersion	W74	13	Not Applicable	Not Applicable
	Friday	6	Accidental suffocation and strangulation in bed	W75	13	Not Applicable	Not Applicable
	Friday	6	Inhalation and ingestion of other objects causing obstruction of respiratory tract	W80	52	Not Applicable	Not Applicable
	Friday	6	Exposure to uncontrolled fire in building or structure	X00	25	Not Applicable	Not Applicable
	Friday	6	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X41	19	Not Applicable	Not Applicable
	Friday	6	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	X42	280	Not Applicable	Not Applicable
	Friday	6	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X44	184	Not Applicable	Not Applicable
	Friday	6	Accidental poisoning by and exposure to alcohol	X45	13	Not Applicable	Not Applicable
	Friday	6	Exposure to unspecified factor	X59	60	Not Applicable	Not Applicable
	Friday	6	Exposure to unspecified factor causing fracture	X59.0	23	Not Applicable	Not Applicable
	Friday	6	Exposure to unspecified factor causing other and unspecified injury	X59.9	18	Not Applicable	Not Applicable
	Friday	6	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X61	12	Not Applicable	Not Applicable
	Friday	6	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X64	34	Not Applicable	Not Applicable
	Friday	6	Intentional self-poisoning by and exposure to other gases and vapours	X67	11	Not Applicable	Not Applicable
	Friday	6	"Intentional self-harm by hanging, strangulation and suffocation"	X70	103	Not Applicable	Not Applicable
	Friday	6	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	X73	29	Not Applicable	Not Applicable
	Friday	6	Intentional self-harm by other and unspecified firearm discharge	X74	162	Not Applicable	Not Applicable
	Friday	6	Intentional self-harm by jumping from a high place	X80	10	Not Applicable	Not Applicable
	Friday	6	Assault by other and unspecified firearm discharge	X95	183	Not Applicable	Not Applicable
	Friday	6	Assault by sharp object	X99	25	Not Applicable	Not Applicable
	Friday	6	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	Y14	17	Not Applicable	Not Applicable
	Friday	6	"Surgical procedure, unspecified"	Y83.9	13	Not Applicable	Not Applicable
Total	Friday	6			2189	Not Applicable	Not Applicable
	Saturday	7	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	V03.1	17	Not Applicable	Not Applicable
	Saturday	7	Pedestrian injured in traffic accident involving other and unspecified motor vehicles	V09.2	33	Not Applicable	Not Applicable
	Saturday	7	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	V23.4	13	Not Applicable	Not Applicable
	Saturday	7	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	V27.4	12	Not Applicable	Not Applicable
	Saturday	7	Motorcycle rider [any] injured in unspecified traffic accident	V29.9	14	Not Applicable	Not Applicable
	Saturday	7	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	V43.5	19	Not Applicable	Not Applicable
	Saturday	7	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	V43.6	10	Not Applicable	Not Applicable
	Saturday	7	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	V47.5	17	Not Applicable	Not Applicable
	Saturday	7	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	V47.6	10	Not Applicable	Not Applicable
	Saturday	7	Car occupant [any] injured in unspecified traffic accident	V49.9	14	Not Applicable	Not Applicable
	Saturday	7	Person injured in collision between other specified motor vehicles (traffic)	V87.7	66	Not Applicable	Not Applicable
	Saturday	7	"Person injured in unspecified motor-vehicle accident, traffic"	V89.2	140	Not Applicable	Not Applicable
	Saturday	7	Fall on and from stairs and steps	W10	17	Not Applicable	Not Applicable
	Saturday	7	Other fall from one level to another	W17	15	Not Applicable	Not Applicable
	Saturday	7	Other fall on same level	W18	16	Not Applicable	Not Applicable
	Saturday	7	Unspecified fall	W19	189	Not Applicable	Not Applicable
	Saturday	7	Unspecified drowning and submersion	W74	19	Not Applicable	Not Applicable
	Saturday	7	Accidental suffocation and strangulation in bed	W75	10	Not Applicable	Not Applicable
	Saturday	7	Inhalation and ingestion of other objects causing obstruction of respiratory tract	W80	47	Not Applicable	Not Applicable
	Saturday	7	Exposure to uncontrolled fire in building or structure	X00	37	Not Applicable	Not Applicable
	Saturday	7	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X41	23	Not Applicable	Not Applicable
	Saturday	7	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	X42	288	Not Applicable	Not Applicable
	Saturday	7	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X44	206	Not Applicable	Not Applicable
	Saturday	7	Accidental poisoning by and exposure to alcohol	X45	13	Not Applicable	Not Applicable
	Saturday	7	Exposure to unspecified factor	X59	70	Not Applicable	Not Applicable
	Saturday	7	Exposure to unspecified factor causing fracture	X59.0	23	Not Applicable	Not Applicable
	Saturday	7	Exposure to unspecified factor causing other and unspecified injury	X59.9	20	Not Applicable	Not Applicable
	Saturday	7	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	X61	17	Not Applicable	Not Applicable
	Saturday	7	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	X64	19	Not Applicable	Not Applicable
	Saturday	7	Intentional self-poisoning by and exposure to other gases and vapours	X67	16	Not Applicable	Not Applicable
	Saturday	7	"Intentional self-harm by hanging, strangulation and suffocation"	X70	98	Not Applicable	Not Applicable
	Saturday	7	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	X73	21	Not Applicable	Not Applicable
	Saturday	7	Intentional self-harm by other and unspecified firearm discharge	X74	159	Not Applicable	Not Applicable
	Saturday	7	Assault by other and unspecified firearm discharge	X95	216	Not Applicable	Not Applicable
	Saturday	7	Assault by sharp object	X99	34	Not Applicable	Not Applicable
	Saturday	7	Assault by other specified means	Y08	12	Not Applicable	Not Applicable
	Saturday	7	Assault by unspecified means	Y09	14	Not Applicable	Not Applicable
	Saturday	7	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	Y14	15	Not Applicable	Not Applicable
	Saturday	7	"Surgical procedure, unspecified"	Y83.9	15	Not Applicable	Not Applicable
	Saturday	7	Sequelae of other accidents	Y86	19	Not Applicable	Not Applicable
Total	Saturday	7			2365	Not Applicable	Not Applicable
Total					14928	Not Applicable	Not Applicable
---							
"Dataset: Underlying Cause of Death, 1999-2016"							
Query Parameters:							
Title:							
2013 Urbanization: All							
Autopsy: All							
Gender: All							
Hispanic Origin: All							
ICD-10 Codes: V01-Y89 (External causes of morbidity and mortality)							
Place of Death: All							
Race: All							
"States: Delaware County, OH (39041), Fairfield County, OH (39045), Franklin County, OH (39049), Pickaway County, OH (39129)"							
Ten-Year Age Groups: All							
Weekday: All							
Year/Month: All							
"Group By: Weekday, Cause of death"							
Show Totals: True							
Show Zero Values: False							
Show Suppressed: False							
"Calculate Rates Per: 100,000"							
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)							
---							
Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information.							
---							
"Query Date: Apr 24, 2018 9:57:25 PM"							
---							
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"							
"1999-2016 on CDC WONDER Online Database, released December, 2017. Data are from the Multiple Cause of Death Files, 1999-2016, as"							
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed							
"at http://wonder.cdc.gov/ucd-icd10.html on Apr 24, 2018 9:57:25 PM"							
---							
Messages:							
"1. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"							
Quick Options above to show suppressed rows.							
---							
Caveats:							
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"							
due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates.							
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"							
http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision.							
3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:							
http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality.							
4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:							
http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable.							
5. Changes to cause of death classification affect reporting trends. More information:							
http://wonder.cdc.gov/wonder/help/ucd.html#ICD-10 Changes.							
