ICD Chapter	ICD Sub-Chapter	Cause of death	Deaths
Diseases of the circulatory system	Cerebrovascular diseases	"Subarachnoid haemorrhage, unspecified"	477
Diseases of the circulatory system	Cerebrovascular diseases	Sequelae of other and unspecified cerebrovascular diseases	663
Diseases of the circulatory system	Cerebrovascular diseases	"Intracranial haemorrhage (nontraumatic), unspecified"	791
Diseases of the circulatory system	Cerebrovascular diseases	"Intracerebral haemorrhage, unspecified"	1073
Diseases of the circulatory system	Cerebrovascular diseases	"Sequelae of stroke, not specified as haemorrhage or infarction"	1097
Diseases of the circulatory system	Cerebrovascular diseases	"Stroke, not specified as haemorrhage or infarction"	5534
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Certain disorders involving the immune mechanism	"Immune, small grouped"	38
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Certain disorders involving the immune mechanism	"Sarcoidosis, unspecified"	69
"Congenital malformations, deformations and chromosomal abnormalities"	"Chromosomal abnormalities, not elsewhere classified"	"Patau's syndrome, unspecified"	31
"Congenital malformations, deformations and chromosomal abnormalities"	"Chromosomal abnormalities, not elsewhere classified"	"Down's syndrome, unspecified"	61
"Congenital malformations, deformations and chromosomal abnormalities"	"Chromosomal abnormalities, not elsewhere classified"	"Edwards' syndrome, unspecified"	65
Diseases of the respiratory system	Chronic lower respiratory diseases	Predominantly allergic asthma	10
Diseases of the respiratory system	Chronic lower respiratory diseases	Unspecified chronic bronchitis	17
Diseases of the respiratory system	Chronic lower respiratory diseases	"Bronchitis, not specified as acute or chronic"	26
Diseases of the respiratory system	Chronic lower respiratory diseases	Status asthmaticus	27
Diseases of the respiratory system	Chronic lower respiratory diseases	Bronchiectasis	106
Diseases of the respiratory system	Chronic lower respiratory diseases	Other specified chronic obstructive pulmonary disease	215
Diseases of the respiratory system	Chronic lower respiratory diseases	"Asthma, unspecified"	236
Diseases of the respiratory system	Chronic lower respiratory diseases	"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"	243
Diseases of the respiratory system	Chronic lower respiratory diseases	Chronic obstructive pulmonary disease with acute lower respiratory infection	840
Diseases of the respiratory system	Chronic lower respiratory diseases	"Emphysema, unspecified"	1355
Diseases of the respiratory system	Chronic lower respiratory diseases	"Chronic obstructive pulmonary disease, unspecified"	8400
Diseases of the circulatory system	Chronic rheumatic heart diseases	"Rheumatic diseases of endocardium, valve unspecified"	12
Diseases of the circulatory system	Chronic rheumatic heart diseases	"Rheumatic heart disease, unspecified"	16
Diseases of the circulatory system	Chronic rheumatic heart diseases	Tricuspid insufficiency	17
Diseases of the circulatory system	Chronic rheumatic heart diseases	Mitral stenosis	39
Diseases of the circulatory system	Chronic rheumatic heart diseases	Disorders of both mitral and aortic valves	59
Diseases of the circulatory system	Chronic rheumatic heart diseases	"Mitral valve disease, unspecified"	86
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	"Coagulation defects, purpura and other haemorrhagic conditions"	Hereditary deficiency of other clotting factors	11
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	"Coagulation defects, purpura and other haemorrhagic conditions"	Idiopathic thrombocytopenic purpura	24
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	"Coagulation defects, purpura and other haemorrhagic conditions"	"Thrombocytopenia, unspecified"	32
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	"Coagulation defects, purpura and other haemorrhagic conditions"	Disseminated intravascular coagulation [defibrination syndrome]	38
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	"Coagulation defects, purpura and other haemorrhagic conditions"	"Coagulation defect, unspecified"	109
External causes of morbidity and mortality	Complications of medical and surgical care	"Drug or medicament, unspecified"	11
External causes of morbidity and mortality	Complications of medical and surgical care	"Surgical operation with anastomosis, bypass or graft"	18
External causes of morbidity and mortality	Complications of medical and surgical care	Surgical operation with implant of artificial internal device	24
External causes of morbidity and mortality	Complications of medical and surgical care	Other medical procedures	27
External causes of morbidity and mortality	Complications of medical and surgical care	"Surgical procedure, unspecified"	74
Certain conditions originating in the perinatal period	Conditions involving the integument and temperature regulation of newborn	Hydrops fetalis not due to haemolytic disease	18
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations and deformations of the musculoskeletal system	"Congenital, small grouped"	104
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations of the circulatory system	"Congenital malformation of heart, unspecified"	121
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations of the nervous system	Holoprosencephaly	10
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations of the nervous system	Other reduction deformities of brain	10
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations of the nervous system	"Congenital hydrocephalus, unspecified"	11
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations of the nervous system	"Spina bifida, unspecified"	13
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations of the nervous system	Anencephaly	37
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations of the respiratory system	Hypoplasia and dysplasia of lung	34
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations of the urinary system	Potter's syndrome	12
"Congenital malformations, deformations and chromosomal abnormalities"	Congenital malformations of the urinary system	"Polycystic kidney, unspecified"	23
Diseases of the nervous system	Demyelinating diseases of the central nervous system	Multiple sclerosis	334
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Non-insulin-dependent diabetes mellitus, with neurological complications"	10
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Non-insulin-dependent diabetes mellitus, with other specified complications"	10
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Insulin-dependent diabetes mellitus, with multiple complications"	11
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Insulin-dependent diabetes mellitus, with ketoacidosis"	19
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Non-insulin-dependent diabetes mellitus, with ketoacidosis"	19
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Unspecified diabetes mellitus, with neurological complications"	22
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Insulin-dependent diabetes mellitus, with peripheral circulatory complications"	27
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Unspecified diabetes mellitus, with other specified complications"	28
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Unspecified diabetes mellitus, with coma"	32
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Insulin-dependent diabetes mellitus, with renal complications"	39
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Non-insulin-dependent diabetes mellitus, with multiple complications"	49
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Unspecified diabetes mellitus, with multiple complications"	67
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	139
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Unspecified diabetes mellitus, with ketoacidosis"	188
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Non-insulin-dependent diabetes mellitus, with renal complications"	254
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Insulin-dependent diabetes mellitus, without complications"	281
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Unspecified diabetes mellitus, with peripheral circulatory complications"	324
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Unspecified diabetes mellitus, with renal complications"	453
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Non-insulin-dependent diabetes mellitus, without complications"	1307
"Endocrine, nutritional and metabolic diseases"	Diabetes mellitus	"Unspecified diabetes mellitus, without complications"	3004
Certain conditions originating in the perinatal period	Digestive system disorders of newborn	Perinatal intestinal perforation	13
Certain conditions originating in the perinatal period	Digestive system disorders of newborn	Necrotizing enterocolitis of newborn	53
Diseases of the digestive system	Diseases of appendix	Acute appendicitis with generalized peritonitis	17
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Thoracoabdominal aortic aneurysm, without mention of rupture"	10
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	Aneurysm of iliac artery	10
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	Stricture of artery	10
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	Atherosclerosis of arteries of extremities	19
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Disorder of arteries and arterioles, unspecified"	19
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	Embolism and thrombosis of other and unspecified parts of aorta	22
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Arteritis, unspecified"	22
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	Aneurysm of unspecified site	25
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	Embolism and thrombosis of unspecified artery	46
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Aortic aneurysm of unspecified site, without mention of rupture"	51
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Thoracic aortic aneurysm, without mention of rupture"	61
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Thoracic aortic aneurysm, ruptured"	76
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Aortic aneurysm of unspecified site, ruptured"	92
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Abdominal aortic aneurysm, without mention of rupture"	123
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	Dissection of aorta [any part]	291
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Abdominal aortic aneurysm, ruptured"	314
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	Generalized and unspecified atherosclerosis	563
Diseases of the circulatory system	"Diseases of arteries, arterioles and capillaries"	"Peripheral vascular disease, unspecified"	629
Diseases of the digestive system	Diseases of liver	Portal hypertension	10
Diseases of the digestive system	Diseases of liver	Other specified diseases of liver	10
Diseases of the digestive system	Diseases of liver	Abscess of liver	13
Diseases of the digestive system	Diseases of liver	Primary biliary cirrhosis	23
Diseases of the digestive system	Diseases of liver	Acute and subacute hepatic failure	24
Diseases of the digestive system	Diseases of liver	"Inflammatory liver disease, unspecified"	25
Diseases of the digestive system	Diseases of liver	Alcoholic fatty liver	29
Diseases of the digestive system	Diseases of liver	Autoimmune hepatitis	29
Diseases of the digestive system	Diseases of liver	Hepatorenal syndrome	30
Diseases of the digestive system	Diseases of liver	Alcoholic hepatitis	84
Diseases of the digestive system	Diseases of liver	Alcoholic hepatic failure	85
Diseases of the digestive system	Diseases of liver	"Alcoholic liver disease, unspecified"	95
Diseases of the digestive system	Diseases of liver	"Fatty (change of) liver, not elsewhere classified"	106
Diseases of the digestive system	Diseases of liver	"Liver disease, unspecified"	192
Diseases of the digestive system	Diseases of liver	"Hepatic failure, unspecified"	249
Diseases of the digestive system	Diseases of liver	Alcoholic cirrhosis of liver	715
Diseases of the digestive system	Diseases of liver	Other and unspecified cirrhosis of liver	1331
Diseases of the genitourinary system	Diseases of male genital organs	Hyperplasia of prostate	32
Diseases of the nervous system	Diseases of myoneural junction and muscle	"Myoneural disorder, unspecified"	20
Diseases of the nervous system	Diseases of myoneural junction and muscle	Myotonic disorders	29
Diseases of the nervous system	Diseases of myoneural junction and muscle	Myasthenia gravis	47
Diseases of the nervous system	Diseases of myoneural junction and muscle	Muscular dystrophy	55
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	Adult hypertrophic pyloric stenosis	10
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Disease of oesophagus, unspecified"	11
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	Other specified diseases of oesophagus	12
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Peptic ulcer, site unspecified, unspecified as acute or chronic, without haemorrhage or perforation"	12
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	Oesophagitis	14
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation"	14
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	Perforation of oesophagus	16
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Peptic ulcer, site unspecified, chronic or unspecified with perforation"	18
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation"	22
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Gastric ulcer, chronic or unspecified with haemorrhage"	28
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	Dyskinesia of oesophagus	31
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	Other specified diseases of stomach and duodenum	32
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	Oesophageal obstruction	35
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Gastric ulcer, chronic or unspecified with perforation"	35
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Duodenal ulcer, chronic or unspecified with haemorrhage"	42
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage"	47
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	Gastro-oesophageal reflux disease without oesophagitis	49
Diseases of the digestive system	"Diseases of oesophagus, stomach and duodenum"	"Duodenal ulcer, chronic or unspecified with perforation"	60
Diseases of the digestive system	Diseases of peritoneum	Other specified disorders of peritoneum	10
Diseases of the digestive system	Diseases of peritoneum	Haemoperitoneum	21
Diseases of the digestive system	Diseases of peritoneum	Acute peritonitis	69
Diseases of the digestive system	Diseases of peritoneum	"Peritonitis, unspecified"	74
Diseases of the circulatory system	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	Oesophageal varices with bleeding	11
Diseases of the circulatory system	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"Lymphoedema, not elsewhere classified"	11
Diseases of the circulatory system	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	Phlebitis and thrombophlebitis of unspecified site	12
Diseases of the circulatory system	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"Phlebitis and thrombophlebitis of lower extremities, unspecified"	21
Diseases of the circulatory system	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	Phlebitis and thrombophlebitis of other deep vessels of lower extremities	251
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	Other specified diseases of pancreas	11
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	Obstruction of bile duct	22
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	Alcohol-induced acute pancreatitis	23
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	"Disease of gallbladder, unspecified"	24
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	Other chronic pancreatitis	31
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	"Disease of pancreas, unspecified"	31
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	Cholangitis	44
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	Calculus of gallbladder without cholecystitis	50
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	"Cholecystitis, unspecified"	60
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	Acute cholecystitis	64
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	Acute pancreatitis	94
Diseases of the digestive system	"Disorders of gallbladder, biliary tract and pancreas"	"Acute pancreatitis, unspecified"	133
"Endocrine, nutritional and metabolic diseases"	Disorders of other endocrine glands	Other and unspecified adrenocortical insufficiency	10
"Endocrine, nutritional and metabolic diseases"	Disorders of thyroid gland	"Thyrotoxicosis, unspecified"	18
"Endocrine, nutritional and metabolic diseases"	Disorders of thyroid gland	"Hypothyroidism, unspecified"	101
Certain conditions originating in the perinatal period	Disorders related to length of gestation and fetal growth	Other preterm infants	195
Certain conditions originating in the perinatal period	Disorders related to length of gestation and fetal growth	Extreme immaturity	412
Diseases of the musculoskeletal system and connective tissue	Dorsopathies	"Discitis, unspecified"	16
Diseases of the musculoskeletal system and connective tissue	Dorsopathies	"Scoliosis, unspecified"	20
Diseases of the musculoskeletal system and connective tissue	Dorsopathies	Osteomyelitis of vertebra	20
Diseases of the musculoskeletal system and connective tissue	Dorsopathies	Spinal stenosis	31
Diseases of the nervous system	Episodic and paroxysmal disorders	"Grand mal seizures, unspecified (with or without petit mal)"	10
Diseases of the nervous system	Episodic and paroxysmal disorders	"Transient cerebral ischaemic attack, unspecified"	17
Diseases of the nervous system	Episodic and paroxysmal disorders	"Epilepsy, unspecified"	66
Diseases of the nervous system	Episodic and paroxysmal disorders	"Status epilepticus, unspecified"	74
Diseases of the nervous system	Episodic and paroxysmal disorders	Sleep apnoea	105
External causes of morbidity and mortality	Event of undetermined intent	"Exposure to smoke, fire and flames, undetermined intent"	10
External causes of morbidity and mortality	Event of undetermined intent	"Hanging, strangulation and suffocation, undetermined intent"	11
External causes of morbidity and mortality	Event of undetermined intent	"Other specified events, undetermined intent"	12
External causes of morbidity and mortality	Event of undetermined intent	"Drowning and submersion, undetermined intent"	19
External causes of morbidity and mortality	Event of undetermined intent	"Other and unspecified firearm discharge, undetermined intent"	28
External causes of morbidity and mortality	Event of undetermined intent	"Unspecified event, undetermined intent"	30
External causes of morbidity and mortality	Event of undetermined intent	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	35
External causes of morbidity and mortality	Event of undetermined intent	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	40
External causes of morbidity and mortality	Event of undetermined intent	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	100
Diseases of the nervous system	Extrapyramidal and movement disorders	"Dystonia, unspecified"	10
Diseases of the nervous system	Extrapyramidal and movement disorders	Parkinson's disease	1829
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	General symptoms and signs	"Shock, unspecified"	15
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	General symptoms and signs	"Haemorrhage, not elsewhere classified"	27
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	General symptoms and signs	Cardiogenic shock	36
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	General symptoms and signs	Abnormal weight loss	42
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	General symptoms and signs	Other specified general symptoms and signs	45
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	General symptoms and signs	Malaise and fatigue	50
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	General symptoms and signs	Other and unspecified convulsions	106
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	General symptoms and signs	Senility	303
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	General symptoms and signs	Other lack of expected normal physiological development	628
Diseases of the genitourinary system	Glomerular diseases	"Chronic nephritic syndrome, unspecified"	123
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Haemolytic anaemias	Sickle-cell anaemia with crisis	10
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	Haemolytic anaemias	Sickle-cell anaemia without crisis	34
Certain conditions originating in the perinatal period	Haemorrhagic and haematological disorders of newborn	Unspecified intraventricular (nontraumatic) haemorrhage of newborn	28
Diseases of the digestive system	Hernia	Unspecified abdominal hernia without obstruction or gangrene	13
Diseases of the digestive system	Hernia	"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene"	14
Diseases of the digestive system	Hernia	"Unspecified abdominal hernia with obstruction, without gangrene"	21
Diseases of the digestive system	Hernia	"Ventral hernia with obstruction, without gangrene"	22
Diseases of the digestive system	Hernia	Diaphragmatic hernia without obstruction or gangrene	27
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in other malignant neoplasms	10
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in other mycoses	14
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in other types of non-Hodgkin's lymphoma	21
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in Pneumocystis carinii pneumonia	24
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in encephalopathy	24
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in wasting syndrome	29
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in other viral infections	33
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in other bacterial infections	41
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in other infectious and parasitic diseases	55
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in multiple diseases classified elsewhere	65
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in multiple infections	69
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	Unspecified human immunodeficiency virus [HIV] disease	113
Certain infectious and parasitic diseases	Human immunodeficiency virus [HIV] disease	HIV disease resulting in other specified conditions	148
Diseases of the circulatory system	Hypertensive diseases	Hypertensive heart and renal disease with (congestive) heart failure	10
Diseases of the circulatory system	Hypertensive diseases	Hypertensive renal disease without renal failure	13
Diseases of the circulatory system	Hypertensive diseases	"Hypertensive heart and renal disease, unspecified"	18
Diseases of the circulatory system	Hypertensive diseases	Hypertensive heart and renal disease with renal failure	110
Diseases of the circulatory system	Hypertensive diseases	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	144
Diseases of the circulatory system	Hypertensive diseases	Hypertensive heart disease with (congestive) heart failure	662
Diseases of the circulatory system	Hypertensive diseases	Hypertensive renal disease with renal failure	806
Diseases of the circulatory system	Hypertensive diseases	Essential (primary) hypertension	1298
Diseases of the circulatory system	Hypertensive diseases	Hypertensive heart disease without (congestive) heart failure	1775
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Ill-defined and unknown causes of mortality	Instantaneous death	43
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Ill-defined and unknown causes of mortality	Sudden infant death syndrome - SIDS	325
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Ill-defined and unknown causes of mortality	Other ill-defined and unspecified causes of mortality	1592
Diseases of the skin and subcutaneous tissue	Infections of the skin and subcutaneous tissue	Cellulitis of other parts of limb	29
Diseases of the skin and subcutaneous tissue	Infections of the skin and subcutaneous tissue	"Local infection of skin and subcutaneous tissue, unspecified"	53
Diseases of the skin and subcutaneous tissue	Infections of the skin and subcutaneous tissue	"Cellulitis, unspecified"	82
Certain conditions originating in the perinatal period	Infections specific to the perinatal period	"Bacterial sepsis of newborn, unspecified"	53
Diseases of the nervous system	Inflammatory diseases of the central nervous system	"Extradural and subdural abscess, unspecified"	18
Diseases of the nervous system	Inflammatory diseases of the central nervous system	"Meningitis, unspecified"	20
Diseases of the nervous system	Inflammatory diseases of the central nervous system	"Encephalitis, myelitis and encephalomyelitis, unspecified"	25
Diseases of the respiratory system	Influenza and pneumonia	"Influenza with other respiratory manifestations, influenza virus identified"	13
Diseases of the respiratory system	Influenza and pneumonia	"Influenza with pneumonia, influenza virus identified"	16
Diseases of the respiratory system	Influenza and pneumonia	"Viral pneumonia, unspecified"	16
Diseases of the respiratory system	Influenza and pneumonia	Pneumonia due to Streptococcus pneumoniae	31
Diseases of the respiratory system	Influenza and pneumonia	"Influenza with pneumonia, virus not identified"	38
Diseases of the respiratory system	Influenza and pneumonia	Pneumonia due to Pseudomonas	41
Diseases of the respiratory system	Influenza and pneumonia	Pneumonia due to other streptococci	43
Diseases of the respiratory system	Influenza and pneumonia	"Influenza with other respiratory manifestations, virus not identified"	59
Diseases of the respiratory system	Influenza and pneumonia	"Bronchopneumonia, unspecified"	63
Diseases of the respiratory system	Influenza and pneumonia	"Lobar pneumonia, unspecified"	67
Diseases of the respiratory system	Influenza and pneumonia	Pneumonia due to staphylococcus	104
Diseases of the respiratory system	Influenza and pneumonia	"Bacterial pneumonia, unspecified"	115
Diseases of the respiratory system	Influenza and pneumonia	"Pneumonia, unspecified"	3750
