"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Other mitral valve diseases"	"I05.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Mitral valve disease, unspecified"	"I05.9"	86	26990678	0.3
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Rheumatic aortic stenosis"	"I06.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Rheumatic aortic insufficiency"	"I06.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Rheumatic aortic stenosis with insufficiency"	"I06.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Other rheumatic aortic valve diseases"	"I06.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Rheumatic aortic valve disease, unspecified"	"I06.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Tricuspid stenosis"	"I07.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Tricuspid insufficiency"	"I07.1"	17	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Tricuspid stenosis with insufficiency"	"I07.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Other tricuspid valve diseases"	"I07.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Tricuspid valve disease, unspecified"	"I07.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Disorders of both mitral and aortic valves"	"I08.0"	59	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Disorders of both mitral and tricuspid valves"	"I08.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Disorders of both aortic and tricuspid valves"	"I08.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Combined disorders of mitral, aortic and tricuspid valves"	"I08.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Other multiple valve diseases"	"I08.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Multiple valve disease, unspecified"	"I08.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Rheumatic myocarditis"	"I09.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Rheumatic diseases of endocardium, valve unspecified"	"I09.1"	12	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Chronic rheumatic pericarditis"	"I09.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Other specified rheumatic heart diseases"	"I09.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	"Rheumatic heart disease, unspecified"	"I09.9"	16	26990678	0.1 (Unreliable)
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"			252	26990678	0.9
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Essential (primary) hypertension"	"I10"	1298	26990678	4.8
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	662	26990678	2.5
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	1775	26990678	6.6
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Hypertensive renal disease with renal failure"	"I12.0"	806	26990678	3.0
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Hypertensive renal disease without renal failure"	"I12.9"	13	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	10	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	110	26990678	0.4
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	144	26990678	0.5
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	18	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Renovascular hypertension"	"I15.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	"Secondary hypertension, unspecified"	"I15.9"	Suppressed	26990678	Suppressed
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"			4837	26990678	17.9
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Unstable angina"	"I20.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Angina pectoris with documented spasm"	"I20.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Other forms of angina pectoris"	"I20.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Angina pectoris, unspecified"	"I20.9"	15	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Acute transmural myocardial infarction of anterior wall"	"I21.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Acute transmural myocardial infarction of inferior wall"	"I21.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Acute transmural myocardial infarction of other sites"	"I21.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Acute transmural myocardial infarction of unspecified site"	"I21.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Acute subendocardial myocardial infarction"	"I21.4"	31	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Acute myocardial infarction, unspecified"	"I21.9"	9637	26990678	35.7
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Subsequent myocardial infarction of anterior wall"	"I22.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Subsequent myocardial infarction of inferior wall"	"I22.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Subsequent myocardial infarction of other sites"	"I22.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Subsequent myocardial infarction of unspecified site"	"I22.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Dressler's syndrome"	"I24.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Other forms of acute ischaemic heart disease"	"I24.8"	27	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Acute ischaemic heart disease, unspecified"	"I24.9"	115	26990678	0.4
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	3248	26990678	12.0
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Atherosclerotic heart disease"	"I25.1"	12573	26990678	46.6
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Old myocardial infarction"	"I25.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Aneurysm of heart"	"I25.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Coronary artery aneurysm"	"I25.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Ischaemic cardiomyopathy"	"I25.5"	1266	26990678	4.7
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Silent myocardial ischaemia"	"I25.6"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Other forms of chronic ischaemic heart disease"	"I25.8"	168	26990678	0.6
	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	481	26990678	1.8
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"			27587	26990678	102.2
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Pulmonary embolism with mention of acute cor pulmonale"	"I26.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	654	26990678	2.4
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Primary pulmonary hypertension"	"I27.0"	115	26990678	0.4
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Kyphoscoliotic heart disease"	"I27.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Other secondary pulmonary hypertension"	"I27.2"	400	26990678	1.5
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Other specified pulmonary heart diseases"	"I27.8"	11	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Pulmonary heart disease, unspecified"	"I27.9"	85	26990678	0.3
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Arteriovenous fistula of pulmonary vessels"	"I28.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Aneurysm of pulmonary artery"	"I28.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Other specified diseases of pulmonary vessels"	"I28.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	"Disease of pulmonary vessels, unspecified"	"I28.9"	Suppressed	26990678	Suppressed
"Total"	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"			1276	26990678	4.7
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Acute nonspecific idiopathic pericarditis"	"I30.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Infective pericarditis"	"I30.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other forms of acute pericarditis"	"I30.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Acute pericarditis, unspecified"	"I30.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Chronic adhesive pericarditis"	"I31.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Chronic constrictive pericarditis"	"I31.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Haemopericardium, not elsewhere classified"	"I31.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Pericardial effusion (noninflammatory)"	"I31.3"	26	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other specified diseases of pericardium"	"I31.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Disease of pericardium, unspecified"	"I31.9"	22	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Acute and subacute infective endocarditis"	"I33.0"	111	26990678	0.4
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Acute endocarditis, unspecified"	"I33.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Mitral (valve) insufficiency"	"I34.0"	192	26990678	0.7
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Mitral (valve) prolapse"	"I34.1"	20	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Nonrheumatic mitral (valve) stenosis"	"I34.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other nonrheumatic mitral valve disorders"	"I34.8"	11	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Nonrheumatic mitral valve disorder, unspecified"	"I34.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Aortic (valve) stenosis"	"I35.0"	874	26990678	3.2
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Aortic (valve) insufficiency"	"I35.1"	53	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Aortic (valve) stenosis with insufficiency"	"I35.2"	11	26990678	0.0 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other aortic valve disorders"	"I35.8"	15	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Aortic valve disorder, unspecified"	"I35.9"	134	26990678	0.5
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Nonrheumatic tricuspid (valve) stenosis"	"I36.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Nonrheumatic tricuspid (valve) insufficiency"	"I36.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Nonrheumatic tricuspid (valve) stenosis with insufficiency"	"I36.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other nonrheumatic tricuspid valve disorders"	"I36.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Nonrheumatic tricuspid valve disorder, unspecified"	"I36.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Pulmonary valve stenosis"	"I37.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Pulmonary valve insufficiency"	"I37.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Pulmonary valve stenosis with insufficiency"	"I37.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other pulmonary valve disorders"	"I37.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Pulmonary valve disorder, unspecified"	"I37.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Endocarditis, valve unspecified"	"I38"	408	26990678	1.5
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Infective myocarditis"	"I40.0"	21	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Isolated myocarditis"	"I40.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other acute myocarditis"	"I40.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Acute myocarditis, unspecified"	"I40.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Dilated cardiomyopathy"	"I42.0"	314	26990678	1.2
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	14	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other hypertrophic cardiomyopathy"	"I42.2"	62	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Endomyocardial (eosinophilic) disease"	"I42.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Endocardial fibroelastosis"	"I42.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other restrictive cardiomyopathy"	"I42.5"	14	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Alcoholic cardiomyopathy"	"I42.6"	53	26990678	0.2
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Cardiomyopathy due to drugs and other external agents"	"I42.7"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other cardiomyopathies"	"I42.8"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Cardiomyopathy, unspecified"	"I42.9"	2039	26990678	7.6
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Atrioventricular block, first degree"	"I44.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Atrioventricular block, second degree"	"I44.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Atrioventricular block, complete"	"I44.2"	25	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other and unspecified atrioventricular block"	"I44.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Left anterior fascicular block"	"I44.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Left posterior fascicular block"	"I44.5"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other and unspecified fascicular block"	"I44.6"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Left bundle-branch block, unspecified"	"I44.7"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Right fascicular block"	"I45.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other and unspecified right bundle-branch block"	"I45.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Bifascicular block"	"I45.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Trifascicular block"	"I45.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Nonspecific intraventricular block"	"I45.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other specified heart block"	"I45.5"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Pre-excitation syndrome"	"I45.6"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other specified conduction disorders"	"I45.8"	71	26990678	0.3
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Conduction disorder, unspecified"	"I45.9"	20	26990678	0.1
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Cardiac arrest with successful resuscitation"	"I46.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Sudden cardiac death, so described"	"I46.1"	257	26990678	1.0
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Cardiac arrest, unspecified"	"I46.9"	1179	26990678	4.4
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Re-entry ventricular arrhythmia"	"I47.0"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Supraventricular tachycardia"	"I47.1"	18	26990678	0.1 (Unreliable)
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Ventricular tachycardia"	"I47.2"	68	26990678	0.3
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Paroxysmal tachycardia, unspecified"	"I47.9"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Atrial fibrillation and flutter"	"I48"	1410	26990678	5.2
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Ventricular fibrillation and flutter"	"I49.0"	128	26990678	0.5
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Atrial premature depolarization"	"I49.1"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Junctional premature depolarization"	"I49.2"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Ventricular premature depolarization"	"I49.3"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Other and unspecified premature depolarization"	"I49.4"	Suppressed	26990678	Suppressed
	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	"Sick sinus syndrome"	"I49.5"	47	26990678	0.2
