ICD Chapter,ICD Sub-Chapter,Cause of death,id,id,value
Diseases of the circulatory system,Cerebrovascular diseases,"Cerebrovascular disease, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Cerebrovascular disease, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Cerebrovascular disease, unspecified",258
Diseases of the circulatory system,Cerebrovascular diseases,Intracerebral haemorrhage in brain stem,Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage in brain stem,Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage in brain stem,38
Diseases of the circulatory system,Cerebrovascular diseases,Intracerebral haemorrhage in cerebellum,Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage in cerebellum,Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage in cerebellum,43
Diseases of the circulatory system,Cerebrovascular diseases,"Intracerebral haemorrhage in hemisphere, cortical","Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage in hemisphere, cortical","Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage in hemisphere, cortical",12
Diseases of the circulatory system,Cerebrovascular diseases,"Intracerebral haemorrhage in hemisphere, subcortical","Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage in hemisphere, subcortical","Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage in hemisphere, subcortical",15
Diseases of the circulatory system,Cerebrovascular diseases,"Intracerebral haemorrhage, intraventricular","Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage, intraventricular","Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage, intraventricular",69
Diseases of the circulatory system,Cerebrovascular diseases,"Intracerebral haemorrhage, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Intracerebral haemorrhage, unspecified",1073
Diseases of the circulatory system,Cerebrovascular diseases,"Intracranial haemorrhage (nontraumatic), unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Intracranial haemorrhage (nontraumatic), unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Intracranial haemorrhage (nontraumatic), unspecified",791
Diseases of the circulatory system,Cerebrovascular diseases,Other specified cerebrovascular diseases,Diseases of the circulatory system.Cerebrovascular diseases.Other specified cerebrovascular diseases,Diseases of the circulatory system.Cerebrovascular diseases.Other specified cerebrovascular diseases,74
Diseases of the circulatory system,Cerebrovascular diseases,Other subarachnoid haemorrhage,Diseases of the circulatory system.Cerebrovascular diseases.Other subarachnoid haemorrhage,Diseases of the circulatory system.Cerebrovascular diseases.Other subarachnoid haemorrhage,17
Diseases of the circulatory system,Cerebrovascular diseases,Sequelae of cerebral infarction,Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of cerebral infarction,Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of cerebral infarction,54
Diseases of the circulatory system,Cerebrovascular diseases,Sequelae of intracerebral haemorrhage,Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of intracerebral haemorrhage,Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of intracerebral haemorrhage,17
Diseases of the circulatory system,Cerebrovascular diseases,Sequelae of other and unspecified cerebrovascular diseases,Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of other and unspecified cerebrovascular diseases,Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of other and unspecified cerebrovascular diseases,663
Diseases of the circulatory system,Cerebrovascular diseases,Sequelae of other nontraumatic intracranial haemorrhage,Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of other nontraumatic intracranial haemorrhage,Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of other nontraumatic intracranial haemorrhage,14
Diseases of the circulatory system,Cerebrovascular diseases,"Sequelae of stroke, not specified as haemorrhage or infarction","Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of stroke, not specified as haemorrhage or infarction","Diseases of the circulatory system.Cerebrovascular diseases.Sequelae of stroke, not specified as haemorrhage or infarction",1097
Diseases of the circulatory system,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction","Diseases of the circulatory system.Cerebrovascular diseases.Stroke, not specified as haemorrhage or infarction","Diseases of the circulatory system.Cerebrovascular diseases.Stroke, not specified as haemorrhage or infarction",5534
Diseases of the circulatory system,Cerebrovascular diseases,"Subarachnoid haemorrhage from intracranial artery, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Subarachnoid haemorrhage from intracranial artery, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Subarachnoid haemorrhage from intracranial artery, unspecified",27
Diseases of the circulatory system,Cerebrovascular diseases,"Subarachnoid haemorrhage, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Subarachnoid haemorrhage, unspecified","Diseases of the circulatory system.Cerebrovascular diseases.Subarachnoid haemorrhage, unspecified",477
Diseases of the circulatory system,Cerebrovascular diseases,Subdural haemorrhage (acute)(nontraumatic),Diseases of the circulatory system.Cerebrovascular diseases.Subdural haemorrhage (acute)(nontraumatic),Diseases of the circulatory system.Cerebrovascular diseases.Subdural haemorrhage (acute)(nontraumatic),240
Diseases of the circulatory system,Chronic rheumatic heart diseases,,Diseases of the circulatory system.Chronic rheumatic heart diseases,Diseases of the circulatory system.Chronic rheumatic heart diseases,
Diseases of the circulatory system,Chronic rheumatic heart diseases,Disorders of both mitral and aortic valves,Diseases of the circulatory system.Chronic rheumatic heart diseases.Disorders of both mitral and aortic valves,Diseases of the circulatory system.Chronic rheumatic heart diseases.Disorders of both mitral and aortic valves,59
Diseases of the circulatory system,Chronic rheumatic heart diseases,Mitral stenosis,Diseases of the circulatory system.Chronic rheumatic heart diseases.Mitral stenosis,Diseases of the circulatory system.Chronic rheumatic heart diseases.Mitral stenosis,39
Diseases of the circulatory system,Chronic rheumatic heart diseases,"Mitral valve disease, unspecified","Diseases of the circulatory system.Chronic rheumatic heart diseases.Mitral valve disease, unspecified","Diseases of the circulatory system.Chronic rheumatic heart diseases.Mitral valve disease, unspecified",86
Diseases of the circulatory system,Chronic rheumatic heart diseases,"Rheumatic diseases of endocardium, valve unspecified","Diseases of the circulatory system.Chronic rheumatic heart diseases.Rheumatic diseases of endocardium, valve unspecified","Diseases of the circulatory system.Chronic rheumatic heart diseases.Rheumatic diseases of endocardium, valve unspecified",12
Diseases of the circulatory system,Chronic rheumatic heart diseases,"Rheumatic heart disease, unspecified","Diseases of the circulatory system.Chronic rheumatic heart diseases.Rheumatic heart disease, unspecified","Diseases of the circulatory system.Chronic rheumatic heart diseases.Rheumatic heart disease, unspecified",16
Diseases of the circulatory system,Chronic rheumatic heart diseases,Tricuspid insufficiency,Diseases of the circulatory system.Chronic rheumatic heart diseases.Tricuspid insufficiency,Diseases of the circulatory system.Chronic rheumatic heart diseases.Tricuspid insufficiency,17
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",,"Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries",
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Abdominal aortic aneurysm, ruptured","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Abdominal aortic aneurysm, ruptured","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Abdominal aortic aneurysm, ruptured",314
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Abdominal aortic aneurysm, without mention of rupture","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Abdominal aortic aneurysm, without mention of rupture","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Abdominal aortic aneurysm, without mention of rupture",123
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Aneurysm of iliac artery,"Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Aneurysm of iliac artery","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Aneurysm of iliac artery",10
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Aneurysm of unspecified site,"Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Aneurysm of unspecified site","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Aneurysm of unspecified site",25
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Aortic aneurysm of unspecified site, ruptured","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Aortic aneurysm of unspecified site, ruptured","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Aortic aneurysm of unspecified site, ruptured",92
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Aortic aneurysm of unspecified site, without mention of rupture","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Aortic aneurysm of unspecified site, without mention of rupture","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Aortic aneurysm of unspecified site, without mention of rupture",51
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Arteritis, unspecified","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Arteritis, unspecified","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Arteritis, unspecified",22
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Atherosclerosis of arteries of extremities,"Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Atherosclerosis of arteries of extremities","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Atherosclerosis of arteries of extremities",19
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Disorder of arteries and arterioles, unspecified","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Disorder of arteries and arterioles, unspecified","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Disorder of arteries and arterioles, unspecified",19
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Dissection of aorta [any part],"Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Dissection of aorta [any part]","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Dissection of aorta [any part]",291
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Embolism and thrombosis of other and unspecified parts of aorta,"Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Embolism and thrombosis of other and unspecified parts of aorta","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Embolism and thrombosis of other and unspecified parts of aorta",22
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Embolism and thrombosis of unspecified artery,"Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Embolism and thrombosis of unspecified artery","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Embolism and thrombosis of unspecified artery",46
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Generalized and unspecified atherosclerosis,"Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Generalized and unspecified atherosclerosis","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Generalized and unspecified atherosclerosis",563
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Peripheral vascular disease, unspecified","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Peripheral vascular disease, unspecified","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Peripheral vascular disease, unspecified",629
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",Stricture of artery,"Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Stricture of artery","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Stricture of artery",10
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Thoracic aortic aneurysm, ruptured","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Thoracic aortic aneurysm, ruptured","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Thoracic aortic aneurysm, ruptured",76
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Thoracic aortic aneurysm, without mention of rupture","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Thoracic aortic aneurysm, without mention of rupture","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Thoracic aortic aneurysm, without mention of rupture",61
Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries","Thoracoabdominal aortic aneurysm, without mention of rupture","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Thoracoabdominal aortic aneurysm, without mention of rupture","Diseases of the circulatory system.Diseases of arteries, arterioles and capillaries.Thoracoabdominal aortic aneurysm, without mention of rupture",10
Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",,"Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified","Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",
Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified","Lymphoedema, not elsewhere classified","Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Lymphoedema, not elsewhere classified","Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Lymphoedema, not elsewhere classified",11
Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Oesophageal varices with bleeding,"Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Oesophageal varices with bleeding","Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Oesophageal varices with bleeding",11
Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified","Phlebitis and thrombophlebitis of lower extremities, unspecified","Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Phlebitis and thrombophlebitis of lower extremities, unspecified","Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Phlebitis and thrombophlebitis of lower extremities, unspecified",21
Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Phlebitis and thrombophlebitis of other deep vessels of lower extremities,"Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Phlebitis and thrombophlebitis of other deep vessels of lower extremities","Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Phlebitis and thrombophlebitis of other deep vessels of lower extremities",251
Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Phlebitis and thrombophlebitis of unspecified site,"Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Phlebitis and thrombophlebitis of unspecified site","Diseases of the circulatory system.Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified.Phlebitis and thrombophlebitis of unspecified site",12
Diseases of the circulatory system,Hypertensive diseases,,Diseases of the circulatory system.Hypertensive diseases,Diseases of the circulatory system.Hypertensive diseases,
Diseases of the circulatory system,Hypertensive diseases,Essential (primary) hypertension,Diseases of the circulatory system.Hypertensive diseases.Essential (primary) hypertension,Diseases of the circulatory system.Hypertensive diseases.Essential (primary) hypertension,1298
Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart and renal disease with (congestive) heart failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart and renal disease with (congestive) heart failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart and renal disease with (congestive) heart failure,10
Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,144
Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart and renal disease with renal failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart and renal disease with renal failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart and renal disease with renal failure,110
Diseases of the circulatory system,Hypertensive diseases,"Hypertensive heart and renal disease, unspecified","Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart and renal disease, unspecified","Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart and renal disease, unspecified",18
Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart disease with (congestive) heart failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart disease with (congestive) heart failure,662
Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart disease without (congestive) heart failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive heart disease without (congestive) heart failure,1775
Diseases of the circulatory system,Hypertensive diseases,Hypertensive renal disease with renal failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive renal disease with renal failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive renal disease with renal failure,806
Diseases of the circulatory system,Hypertensive diseases,Hypertensive renal disease without renal failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive renal disease without renal failure,Diseases of the circulatory system.Hypertensive diseases.Hypertensive renal disease without renal failure,13
Diseases of the circulatory system,Ischaemic heart diseases,,Diseases of the circulatory system.Ischaemic heart diseases,Diseases of the circulatory system.Ischaemic heart diseases,
Diseases of the circulatory system,Ischaemic heart diseases,"Acute ischaemic heart disease, unspecified","Diseases of the circulatory system.Ischaemic heart diseases.Acute ischaemic heart disease, unspecified","Diseases of the circulatory system.Ischaemic heart diseases.Acute ischaemic heart disease, unspecified",115
Diseases of the circulatory system,Ischaemic heart diseases,"Acute myocardial infarction, unspecified","Diseases of the circulatory system.Ischaemic heart diseases.Acute myocardial infarction, unspecified","Diseases of the circulatory system.Ischaemic heart diseases.Acute myocardial infarction, unspecified",9637
Diseases of the circulatory system,Ischaemic heart diseases,Acute subendocardial myocardial infarction,Diseases of the circulatory system.Ischaemic heart diseases.Acute subendocardial myocardial infarction,Diseases of the circulatory system.Ischaemic heart diseases.Acute subendocardial myocardial infarction,31
Diseases of the circulatory system,Ischaemic heart diseases,"Angina pectoris, unspecified","Diseases of the circulatory system.Ischaemic heart diseases.Angina pectoris, unspecified","Diseases of the circulatory system.Ischaemic heart diseases.Angina pectoris, unspecified",15
Diseases of the circulatory system,Ischaemic heart diseases,"Atherosclerotic cardiovascular disease, so described","Diseases of the circulatory system.Ischaemic heart diseases.Atherosclerotic cardiovascular disease, so described","Diseases of the circulatory system.Ischaemic heart diseases.Atherosclerotic cardiovascular disease, so described",3248
Diseases of the circulatory system,Ischaemic heart diseases,Atherosclerotic heart disease,Diseases of the circulatory system.Ischaemic heart diseases.Atherosclerotic heart disease,Diseases of the circulatory system.Ischaemic heart diseases.Atherosclerotic heart disease,12573
Diseases of the circulatory system,Ischaemic heart diseases,"Chronic ischaemic heart disease, unspecified","Diseases of the circulatory system.Ischaemic heart diseases.Chronic ischaemic heart disease, unspecified","Diseases of the circulatory system.Ischaemic heart diseases.Chronic ischaemic heart disease, unspecified",481
Diseases of the circulatory system,Ischaemic heart diseases,Ischaemic cardiomyopathy,Diseases of the circulatory system.Ischaemic heart diseases.Ischaemic cardiomyopathy,Diseases of the circulatory system.Ischaemic heart diseases.Ischaemic cardiomyopathy,1266
Diseases of the circulatory system,Ischaemic heart diseases,Other forms of acute ischaemic heart disease,Diseases of the circulatory system.Ischaemic heart diseases.Other forms of acute ischaemic heart disease,Diseases of the circulatory system.Ischaemic heart diseases.Other forms of acute ischaemic heart disease,27
Diseases of the circulatory system,Ischaemic heart diseases,Other forms of chronic ischaemic heart disease,Diseases of the circulatory system.Ischaemic heart diseases.Other forms of chronic ischaemic heart disease,Diseases of the circulatory system.Ischaemic heart diseases.Other forms of chronic ischaemic heart disease,168
Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,,Diseases of the circulatory system.Other and unspecified disorders of the circulatory system,Diseases of the circulatory system.Other and unspecified disorders of the circulatory system,
Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,"Hypotension, unspecified","Diseases of the circulatory system.Other and unspecified disorders of the circulatory system.Hypotension, unspecified","Diseases of the circulatory system.Other and unspecified disorders of the circulatory system.Hypotension, unspecified",20
Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,Other and unspecified disorders of circulatory system,Diseases of the circulatory system.Other and unspecified disorders of the circulatory system.Other and unspecified disorders of circulatory system,Diseases of the circulatory system.Other and unspecified disorders of the circulatory system.Other and unspecified disorders of circulatory system,17
Diseases of the circulatory system,Other forms of heart disease,,Diseases of the circulatory system.Other forms of heart disease,Diseases of the circulatory system.Other forms of heart disease,
Diseases of the circulatory system,Other forms of heart disease,Acute and subacute infective endocarditis,Diseases of the circulatory system.Other forms of heart disease.Acute and subacute infective endocarditis,Diseases of the circulatory system.Other forms of heart disease.Acute and subacute infective endocarditis,111
Diseases of the circulatory system,Other forms of heart disease,Alcoholic cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Alcoholic cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Alcoholic cardiomyopathy,53
Diseases of the circulatory system,Other forms of heart disease,Aortic (valve) insufficiency,Diseases of the circulatory system.Other forms of heart disease.Aortic (valve) insufficiency,Diseases of the circulatory system.Other forms of heart disease.Aortic (valve) insufficiency,53
Diseases of the circulatory system,Other forms of heart disease,Aortic (valve) stenosis,Diseases of the circulatory system.Other forms of heart disease.Aortic (valve) stenosis,Diseases of the circulatory system.Other forms of heart disease.Aortic (valve) stenosis,874
Diseases of the circulatory system,Other forms of heart disease,Aortic (valve) stenosis with insufficiency,Diseases of the circulatory system.Other forms of heart disease.Aortic (valve) stenosis with insufficiency,Diseases of the circulatory system.Other forms of heart disease.Aortic (valve) stenosis with insufficiency,11
Diseases of the circulatory system,Other forms of heart disease,"Aortic valve disorder, unspecified","Diseases of the circulatory system.Other forms of heart disease.Aortic valve disorder, unspecified","Diseases of the circulatory system.Other forms of heart disease.Aortic valve disorder, unspecified",134
Diseases of the circulatory system,Other forms of heart disease,Atrial fibrillation and flutter,Diseases of the circulatory system.Other forms of heart disease.Atrial fibrillation and flutter,Diseases of the circulatory system.Other forms of heart disease.Atrial fibrillation and flutter,1410
Diseases of the circulatory system,Other forms of heart disease,"Atrioventricular block, complete","Diseases of the circulatory system.Other forms of heart disease.Atrioventricular block, complete","Diseases of the circulatory system.Other forms of heart disease.Atrioventricular block, complete",25
Diseases of the circulatory system,Other forms of heart disease,"Cardiac arrest, unspecified","Diseases of the circulatory system.Other forms of heart disease.Cardiac arrest, unspecified","Diseases of the circulatory system.Other forms of heart disease.Cardiac arrest, unspecified",1179
Diseases of the circulatory system,Other forms of heart disease,"Cardiac arrhythmia, unspecified","Diseases of the circulatory system.Other forms of heart disease.Cardiac arrhythmia, unspecified","Diseases of the circulatory system.Other forms of heart disease.Cardiac arrhythmia, unspecified",764
Diseases of the circulatory system,Other forms of heart disease,Cardiomegaly,Diseases of the circulatory system.Other forms of heart disease.Cardiomegaly,Diseases of the circulatory system.Other forms of heart disease.Cardiomegaly,116
Diseases of the circulatory system,Other forms of heart disease,"Cardiomyopathy, unspecified","Diseases of the circulatory system.Other forms of heart disease.Cardiomyopathy, unspecified","Diseases of the circulatory system.Other forms of heart disease.Cardiomyopathy, unspecified",2039
Diseases of the circulatory system,Other forms of heart disease,"Cardiovascular disease, unspecified","Diseases of the circulatory system.Other forms of heart disease.Cardiovascular disease, unspecified","Diseases of the circulatory system.Other forms of heart disease.Cardiovascular disease, unspecified",148
Diseases of the circulatory system,Other forms of heart disease,"Conduction disorder, unspecified","Diseases of the circulatory system.Other forms of heart disease.Conduction disorder, unspecified","Diseases of the circulatory system.Other forms of heart disease.Conduction disorder, unspecified",20
Diseases of the circulatory system,Other forms of heart disease,Congestive heart failure,Diseases of the circulatory system.Other forms of heart disease.Congestive heart failure,Diseases of the circulatory system.Other forms of heart disease.Congestive heart failure,3618
Diseases of the circulatory system,Other forms of heart disease,Dilated cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Dilated cardiomyopathy,Diseases of the circulatory system.Other forms of heart disease.Dilated cardiomyopathy,314
Diseases of the circulatory system,Other forms of heart disease,"Disease of pericardium, unspecified","Diseases of the circulatory system.Other forms of heart disease.Disease of pericardium, unspecified","Diseases of the circulatory system.Other forms of heart disease.Disease of pericardium, unspecified",22
Diseases of the circulatory system,Other forms of heart disease,"Endocarditis, valve unspecified","Diseases of the circulatory system.Other forms of heart disease.Endocarditis, valve unspecified","Diseases of the circulatory system.Other forms of heart disease.Endocarditis, valve unspecified",408
Diseases of the circulatory system,Other forms of heart disease,"Heart disease, unspecified","Diseases of the circulatory system.Other forms of heart disease.Heart disease, unspecified","Diseases of the circulatory system.Other forms of heart disease.Heart disease, unspecified",496
Diseases of the circulatory system,Other forms of heart disease,"Heart failure, unspecified","Diseases of the circulatory system.Other forms of heart disease.Heart failure, unspecified","Diseases of the circulatory system.Other forms of heart disease.Heart failure, unspecified",529
Diseases of the circulatory system,Other forms of heart disease,Infective myocarditis,Diseases of the circulatory system.Other forms of heart disease.Infective myocarditis,Diseases of the circulatory system.Other forms of heart disease.Infective myocarditis,21
