country,year,age,obese_degree,gender,obese_status
USA,1993,20+ yrs - age-standardized,3,both,overweight
USA,1993,20+ yrs - age-standardized,3,both,obese
USA,1993,25 to 29 yrs,3,both,overweight
USA,1993,25 to 29 yrs,3,both,obese
USA,1993,30 to 34 yrs,3,both,overweight
USA,1993,30 to 34 yrs,3,both,obese
USA,1993,35 to 39 yrs,3,both,overweight
USA,1993,35 to 39 yrs,3,both,obese
USA,1993,40 to 44 yrs,3,both,obese
USA,1993,40 to 44 yrs,3,both,overweight
USA,1993,45 to 49 yrs,3,both,overweight
USA,1993,45 to 49 yrs,3,both,obese
USA,1993,50 to 54 yrs,3,both,obese
USA,1993,50 to 54 yrs,3,both,overweight
USA,1993,55 to 59 yrs,3,both,overweight
USA,1993,55 to 59 yrs,3,both,obese
USA,1993,60 to 64 yrs,3,both,obese
USA,1993,60 to 64 yrs,3,both,overweight
USA,1993,65 to 69 yrs,3,both,overweight
USA,1993,65 to 69 yrs,3,both,obese
USA,1993,70 to 74 yrs,3,both,overweight
USA,1993,70 to 74 yrs,3,both,obese
USA,1993,75 to 79 yrs,3,both,overweight
USA,1993,75 to 79 yrs,3,both,obese
USA,1993,80+ yrs,3,both,overweight
USA,1993,80+ yrs,3,both,obese
USA,1994,2 to 4 yrs,1,male,obese
USA,1994,2 to 4 yrs,1,male,overweight
USA,1994,2 to 19 yrs - age-standardized,1,male,overweight
USA,1994,2 to 19 yrs - age-standardized,1,male,obese
USA,1994,5 to 9 yrs,1,male,overweight
USA,1994,5 to 9 yrs,1,male,obese
USA,1994,10 to 14 yrs,1,male,obese
USA,1994,10 to 14 yrs,1,male,overweight
USA,1994,15 to 19 yrs,1,male,obese
USA,1994,15 to 19 yrs,1,male,overweight
USA,1994,20 to 24 yrs,1,male,overweight
USA,1994,20 to 24 yrs,1,male,obese
USA,1994,20+ yrs - age-standardized,1,male,obese
USA,1994,20+ yrs - age-standardized,1,male,overweight
USA,1994,25 to 29 yrs,1,male,overweight
USA,1994,25 to 29 yrs,1,male,obese
USA,1994,30 to 34 yrs,1,male,obese
USA,1994,30 to 34 yrs,1,male,overweight
USA,1994,35 to 39 yrs,1,male,obese
USA,1994,35 to 39 yrs,1,male,overweight
USA,1994,40 to 44 yrs,1,male,obese
USA,1994,40 to 44 yrs,1,male,overweight
USA,1994,45 to 49 yrs,1,male,obese
USA,1994,45 to 49 yrs,1,male,overweight
USA,1994,50 to 54 yrs,1,male,overweight
USA,1994,50 to 54 yrs,1,male,obese
USA,1994,55 to 59 yrs,1,male,overweight
USA,1994,55 to 59 yrs,1,male,obese
USA,1994,60 to 64 yrs,1,male,overweight
USA,1994,60 to 64 yrs,1,male,obese
USA,1994,65 to 69 yrs,1,male,obese
USA,1994,65 to 69 yrs,1,male,overweight
USA,1994,70 to 74 yrs,1,male,obese
USA,1994,70 to 74 yrs,1,male,overweight
USA,1994,75 to 79 yrs,1,male,overweight
USA,1994,75 to 79 yrs,1,male,obese
USA,1994,80+ yrs,1,male,overweight
USA,1994,80+ yrs,1,male,obese
USA,1994,2 to 4 yrs,2,female,obese
USA,1994,2 to 4 yrs,2,female,overweight
USA,1994,2 to 19 yrs - age-standardized,2,female,overweight
USA,1994,2 to 19 yrs - age-standardized,2,female,obese
USA,1994,5 to 9 yrs,2,female,overweight
USA,1994,5 to 9 yrs,2,female,obese
USA,1994,10 to 14 yrs,2,female,obese
USA,1994,10 to 14 yrs,2,female,overweight
USA,1994,15 to 19 yrs,2,female,overweight
USA,1994,15 to 19 yrs,2,female,obese
USA,1994,20 to 24 yrs,2,female,overweight
USA,1994,20 to 24 yrs,2,female,obese
USA,1994,20+ yrs - age-standardized,2,female,obese
USA,1994,20+ yrs - age-standardized,2,female,overweight
USA,1994,25 to 29 yrs,2,female,obese
USA,1994,25 to 29 yrs,2,female,overweight
USA,1994,30 to 34 yrs,2,female,obese
USA,1994,30 to 34 yrs,2,female,overweight
USA,1994,35 to 39 yrs,2,female,obese
USA,1994,35 to 39 yrs,2,female,overweight
USA,1994,40 to 44 yrs,2,female,obese
USA,1994,40 to 44 yrs,2,female,overweight
USA,1994,45 to 49 yrs,2,female,overweight
USA,1994,45 to 49 yrs,2,female,obese
USA,1994,50 to 54 yrs,2,female,obese
USA,1994,50 to 54 yrs,2,female,overweight
USA,1994,55 to 59 yrs,2,female,overweight
USA,1994,55 to 59 yrs,2,female,obese
USA,1994,60 to 64 yrs,2,female,overweight
USA,1994,60 to 64 yrs,2,female,obese
USA,1994,65 to 69 yrs,2,female,overweight
USA,1994,65 to 69 yrs,2,female,obese
USA,1994,70 to 74 yrs,2,female,overweight
USA,1994,70 to 74 yrs,2,female,obese
USA,1994,75 to 79 yrs,2,female,obese
USA,1994,75 to 79 yrs,2,female,overweight
USA,1994,80+ yrs,2,female,overweight
USA,1994,80+ yrs,2,female,obese
USA,1994,2 to 4 yrs,3,both,overweight
USA,1994,2 to 4 yrs,3,both,obese
USA,1994,2 to 19 yrs - age-standardized,3,both,overweight
USA,1994,2 to 19 yrs - age-standardized,3,both,obese
USA,1994,5 to 9 yrs,3,both,obese
USA,1994,5 to 9 yrs,3,both,overweight
USA,1994,10 to 14 yrs,3,both,obese
USA,1994,10 to 14 yrs,3,both,overweight
USA,1994,15 to 19 yrs,3,both,overweight
USA,1994,15 to 19 yrs,3,both,obese
USA,1994,20 to 24 yrs,3,both,obese
USA,1994,20 to 24 yrs,3,both,overweight
USA,1994,20+ yrs - age-standardized,3,both,obese
USA,1994,20+ yrs - age-standardized,3,both,overweight
USA,1994,25 to 29 yrs,3,both,obese
USA,1994,25 to 29 yrs,3,both,overweight
USA,1994,30 to 34 yrs,3,both,overweight
USA,1994,30 to 34 yrs,3,both,obese
USA,1994,35 to 39 yrs,3,both,obese
USA,1994,35 to 39 yrs,3,both,overweight
USA,1994,40 to 44 yrs,3,both,obese
USA,1994,40 to 44 yrs,3,both,overweight
USA,1994,45 to 49 yrs,3,both,obese
USA,1994,45 to 49 yrs,3,both,overweight
USA,1994,50 to 54 yrs,3,both,obese
USA,1994,50 to 54 yrs,3,both,overweight
USA,1994,55 to 59 yrs,3,both,obese
USA,1994,55 to 59 yrs,3,both,overweight
USA,1994,60 to 64 yrs,3,both,overweight
USA,1994,60 to 64 yrs,3,both,obese
USA,1994,65 to 69 yrs,3,both,obese
USA,1994,65 to 69 yrs,3,both,overweight
USA,1994,70 to 74 yrs,3,both,obese
USA,1994,70 to 74 yrs,3,both,overweight
USA,1994,75 to 79 yrs,3,both,overweight
USA,1994,75 to 79 yrs,3,both,obese
USA,1994,80+ yrs,3,both,overweight
USA,1994,80+ yrs,3,both,obese
USA,1995,2 to 4 yrs,1,male,overweight
USA,1995,2 to 4 yrs,1,male,obese
USA,1995,2 to 19 yrs - age-standardized,1,male,overweight
USA,1995,2 to 19 yrs - age-standardized,1,male,obese
USA,1995,5 to 9 yrs,1,male,obese
USA,1995,5 to 9 yrs,1,male,overweight
USA,1995,10 to 14 yrs,1,male,overweight
USA,1995,10 to 14 yrs,1,male,obese
USA,1995,15 to 19 yrs,1,male,obese
USA,1995,15 to 19 yrs,1,male,overweight
USA,1995,20 to 24 yrs,1,male,obese
USA,1995,20 to 24 yrs,1,male,overweight
USA,1995,20+ yrs - age-standardized,1,male,obese
USA,1995,20+ yrs - age-standardized,1,male,overweight
USA,1995,25 to 29 yrs,1,male,overweight
